State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.0,1000,1200,1100,15 Nov 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,0.8,700,800,750,24 Oct 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,2.0,800,1000,900,23 Oct 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,2.5,900,1100,1000,22 Oct 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,0.5,900,1100,1000,15 Oct 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,1.4,800,1000,900,09 Oct 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.0,800,1000,900,07 Oct 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.0,800,900,800,26 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.0,800,1000,900,25 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,2.0,600,800,700,23 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.0,1000,1200,1000,21 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,2.0,1000,1200,1100,20 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.5,800,1000,900,19 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,2.0,800,1100,1000,18 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,0.7,1400,1600,1500,16 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.0,800,1000,900,10 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.2,800,1000,900,06 Sep 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.5,600,800,700,22 Aug 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,1.5,400,500,500,17 Aug 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,2.0,650,800,700,16 Aug 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,2.6,2400,2600,2500,07 Aug 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,2.0,600,800,700,06 Aug 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,1.0,500,900,600,01 Aug 2013
Assam,Kamrup,P.O. Uparhali Guwahati,White Pumpkin,Vegetables,2.2,500,700,600,30 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,2.0,600,800,700,26 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,3.0,600,900,700,24 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,3.0,700,900,800,23 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,3.0,800,1200,1000,20 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,3.0,600,700,650,12 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,1.5,700,900,800,09 Jul 2013
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Vegetables,2.5,600,800,700,06 Jul 2013
