State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Haryana,Ambala,Ambala City,Other,Vegetables,0.2,500,600,550,19 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.5,600,800,700,16 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.2,600,800,700,15 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.6,600,800,700,13 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.5,800,1000,900,12 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.2,1000,1000,1000,11 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,500,900,800,10 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,800,1000,900,08 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,600,900,800,07 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,500,900,800,06 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.7,400,650,600,05 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.7,600,800,700,04 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,600,700,650,02 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,900,1000,950,01 Sep 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.7,650,750,700,31 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.3,900,1000,1000,29 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.2,700,900,800,28 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,800,1000,900,27 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,500,640,600,25 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.2,450,600,550,24 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,400,400,400,21 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,500,600,550,19 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.6,450,500,500,18 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.6,500,600,550,17 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,300,500,450,15 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,500,700,650,13 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.3,350,400,400,11 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.2,500,700,550,10 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,400,700,500,09 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,2.2,550,650,600,08 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,2.3,600,800,700,07 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.3,550,650,600,06 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.6,600,700,650,05 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.3,800,1000,900,04 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.1,700,1000,850,03 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,800,900,850,02 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.5,600,800,700,01 Aug 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.5,500,800,650,31 Jul 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.5,400,600,500,12 Jun 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,600,1000,800,11 Jun 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,400,600,500,09 Jun 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.6,500,900,700,06 Jun 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,490,880,685,23 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,2.8,550,750,650,22 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.0,550,750,650,21 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.5,800,1000,900,20 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.8,700,900,800,19 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.3,600,800,700,12 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,900,1000,950,11 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,700,1000,850,10 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.0,400,700,550,09 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.5,900,1000,950,07 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.0,700,800,750,06 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.9,600,700,650,05 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.6,800,960,880,04 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.5,600,800,700,03 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.2,600,800,700,02 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,700,900,800,01 May 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.4,600,800,700,30 Apr 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.7,800,1000,900,28 Apr 2006
Haryana,Ambala,Ambala City,Other,Vegetables,1.1,900,1100,1000,27 Apr 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.5,968,1100,1034,26 Apr 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.6,750,960,855,25 Apr 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.4,1500,1700,1600,13 Apr 2006
Haryana,Ambala,Ambala City,Other,Vegetables,0.8,900,1700,1300,12 Apr 2006
