State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.2,500,500,500,09 Sep 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,400,400,08 Sep 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.2,500,600,550,07 Sep 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.7,400,450,425,06 Sep 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,400,400,10 Jul 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.4,300,400,350,08 Jul 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,500,500,500,01 Jul 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.2,300,400,350,28 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,400,400,27 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,400,400,26 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,500,450,25 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.2,500,500,500,22 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,400,400,21 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,400,400,400,19 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.1,300,300,300,16 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.2,450,450,450,13 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.5,400,400,400,12 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.4,500,500,500,10 Jun 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.5,350,350,350,29 May 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.4,500,500,500,28 May 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.4,500,500,500,27 May 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.3,400,400,400,26 May 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.3,400,400,400,20 May 2015
Haryana,Fatehabad,Bhuna,White Pumpkin,Vegetables,0.3,400,400,400,09 May 2015
