State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Haryana,Sirsa,kalanwali,Other,Vegetables,0.1,700,700,700,23 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,500,500,500,22 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,700,700,700,20 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,700,700,700,19 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.1,500,500,500,17 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,400,400,400,16 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,600,1000,1000,15 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,1.2,400,1000,1000,14 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,700,1000,1000,13 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,700,1000,1000,12 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,800,800,800,11 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,1000,1000,1000,10 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,1000,1000,1000,09 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,1000,1000,1000,08 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,800,800,800,07 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,700,700,700,06 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,600,700,700,05 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,700,700,700,04 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,600,700,700,03 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,500,500,500,02 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,400,600,600,01 Apr 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,700,700,700,31 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,600,1000,1000,30 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,700,700,700,29 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,1.3,700,800,800,28 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,1.0,800,800,800,27 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,1.5,800,1000,1000,26 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,1.1,800,800,800,24 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,800,1000,1000,22 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,4.0,1000,1000,1000,21 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,1.0,300,300,300,20 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.1,1500,1500,1500,19 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.8,1200,1200,1200,16 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,1200,1500,1500,15 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.8,1500,1800,1800,11 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,1800,2000,2000,10 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,1800,1800,1800,09 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,2000,2000,2000,06 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.1,2000,2000,2000,01 Mar 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.1,1800,1800,1800,19 Feb 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.1,1500,1500,1500,17 Feb 2011
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,700,800,800,18 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,800,900,900,17 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,900,1000,1000,14 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,1200,1500,1500,11 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,300,400,400,10 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,300,300,300,09 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,700,800,800,08 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,1.0,1000,1000,1000,07 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,1.3,1000,1000,1000,03 Apr 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.5,1000,1200,1200,31 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,1000,1200,1200,30 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.5,1000,1200,1200,29 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,1.0,1000,1000,1000,28 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,600,800,800,27 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,1000,1000,1000,26 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,1000,1200,1200,25 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,1.0,1000,1000,1000,22 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,1000,1000,1000,21 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,1000,1000,1000,20 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.5,1100,1100,1100,19 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,1000,1200,1200,18 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.5,1000,1200,1200,17 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.7,1100,1200,1200,16 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.6,1100,1100,1100,15 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,1000,1000,1000,09 Mar 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,2.0,1195,1195,1195,20 Feb 2010
Haryana,Sirsa,kalanwali,Other,Vegetables,1.6,250,250,250,05 May 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.4,200,250,250,04 May 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,200,300,300,02 May 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,250,300,300,01 May 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.8,200,300,300,27 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,1.4,200,300,300,26 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,2.0,200,250,215,21 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,200,300,300,10 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,1.2,200,300,0,08 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,1.2,200,200,200,07 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,1.4,300,300,0,06 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,2.9,200,2500,0,05 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,1.0,200,250,250,04 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.8,200,250,0,03 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.3,400,400,0,02 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.2,500,500,0,01 Apr 2009
Haryana,Sirsa,kalanwali,Other,Vegetables,0.05,700,800,0,13 Mar 2007
