State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,6.0,250,350,300,13 Dec 2007
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,4.0,250,350,300,12 Dec 2007
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,10.0,800,1100,900,25 Oct 2008
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,10.0,400,600,500,30 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,16.0,400,600,500,29 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,11.0,300,500,400,23 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,5.0,400,600,500,19 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,3.0,300,500,400,10 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,5.0,300,500,400,05 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,15.0,350,550,450,02 Dec 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,5.0,300,500,350,26 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,9.0,300,500,400,23 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,13.0,300,400,350,20 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,2.0,250,400,300,19 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,14.0,400,550,450,16 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,13.0,400,500,450,13 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,14.0,300,500,400,12 Nov 2009
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,Vegetables,15.0,400,500,450,27 Oct 2009
