State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,2.0,1852,1852,1852,25 Jan 2024
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1823,1823,1823,24 Jan 2024
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1010,1010,1010,16 Dec 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,813,813,813,13 Dec 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,7.0,1026,1026,1026,08 Dec 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1041,1041,1041,22 Nov 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1042,1042,1042,21 Nov 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,813,813,813,18 Nov 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1010,1010,1010,27 Oct 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,800,800,800,25 Oct 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,813,813,813,04 Oct 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1282,1282,1282,08 May 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1042,1042,1042,03 Apr 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,2.0,1450,1450,1450,29 Mar 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1235,1235,1235,27 Mar 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1235,1235,1235,15 Mar 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1515,1515,1515,01 Mar 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1515,1515,1515,27 Feb 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1613,1613,1613,22 Feb 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1515,1515,1515,06 Feb 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1613,1613,1613,30 Jan 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1613,1613,1613,06 Jan 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1389,1389,1389,02 Jan 2023
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,6.0,1467,1867,1667,26 Dec 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1334,1334,1334,17 Dec 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1852,1852,1852,30 Nov 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1923,1923,1923,03 Oct 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,2150,2150,2150,01 Oct 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1191,1191,1191,25 Aug 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,5.0,962,962,962,01 Aug 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,6.0,806,806,806,25 May 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,6.0,806,806,806,04 May 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,6.0,806,806,806,30 Apr 2022
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,6.0,1970,1970,1970,23 Oct 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,1298,1298,1298,31 Aug 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,1903,1903,1903,28 Aug 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,2.0,606,800,750,11 May 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,2.0,1000,1000,1000,06 May 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,2.0,1176,1176,1176,24 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,3.0,968,968,968,20 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1000,1000,1000,13 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1000,1000,1000,10 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,2.0,911,1311,1111,08 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1000,1000,1000,04 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1000,1000,1000,03 Apr 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,1000,1000,1000,24 Mar 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,1111,1111,1111,18 Mar 2020
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,1000,1000,1000,11 Dec 2019
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,1.0,833,833,833,06 Dec 2019
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,5.0,1000,1000,1000,04 Dec 2019
Karnataka,Chikmagalur,Chikkamagalore,White Pumpkin,Vegetables,4.0,1000,1000,1000,03 Dec 2019
