State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,16.0,1802,1802,1802,30 Jan 2024
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,58.0,1200,1403,1300,29 Dec 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,4.0,694,694,694,13 Dec 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,60.0,1100,1300,1200,26 Oct 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,22.0,1406,1406,1406,22 Aug 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,59.0,1400,1400,1400,27 Jul 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,22.0,1400,1400,1400,20 Jul 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,43.0,1250,1400,1400,23 Jun 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,61.0,1200,1400,1400,26 May 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,1500,1500,1500,24 May 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,128.0,1100,1200,1200,25 Apr 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,26.0,1200,1200,1200,27 Mar 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,22.0,1400,1400,1400,21 Feb 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,60.0,1400,1400,1400,18 Jan 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,10.0,1800,1800,1800,04 Jan 2023
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,68.0,1600,1600,1600,20 Oct 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,7.0,2525,2525,2525,12 Oct 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,128.0,1400,1400,1400,21 Sep 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,15.0,1400,1400,1400,01 Sep 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,82.0,900,900,900,23 Aug 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,30.0,1400,1400,1400,30 Jul 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,113.0,1200,1200,1200,26 Jul 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,1450,1450,1450,08 Jun 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,119.0,800,800,800,24 May 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,94.0,1400,1400,1400,28 Apr 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,70.0,1400,1400,1400,25 Mar 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,197.0,800,900,900,18 Mar 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,66.0,1400,1400,1400,19 Feb 2022
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,62.0,1400,1400,1400,28 Dec 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,25.0,1400,1800,1500,30 Nov 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,69.0,1400,1400,1400,26 Nov 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,116.0,1200,1200,1200,18 Nov 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,61.0,1600,1800,1800,26 Oct 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,46.0,700,700,700,21 Oct 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,192.0,600,1000,800,13 Oct 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,103.0,1100,1200,1200,30 Sep 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,268.0,1200,1600,1300,21 Sep 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,38.0,1800,1800,1800,30 Aug 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,40.0,1400,1400,1400,24 Aug 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,9.0,1000,1400,1100,18 Aug 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,47.0,1200,1200,1200,16 Aug 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,206.0,1200,1400,1400,30 Jul 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,1400,1400,1400,07 Jul 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,110.0,950,1150,1150,30 Jun 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,51.0,1200,1400,1400,29 Jun 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,4.0,1200,1500,1500,23 Jun 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,8.0,1100,1100,1100,16 Jun 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,1200,1200,1200,17 Feb 2021
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,22.0,100,100,100,27 Apr 2020
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,625,625,625,13 Nov 2019
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,1000,1000,1000,26 Dec 2018
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,14.0,357,357,357,29 Nov 2018
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,1200,1200,1200,26 Sep 2018
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,3.0,500,500,500,05 Sep 2018
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,16.0,500,500,500,21 May 2018
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,5.0,500,500,500,02 Aug 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,1500,3846,1500,26 Jul 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,5.0,600,600,600,19 Jul 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,1000,1000,1000,12 Jul 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,1200,1200,1200,07 Jun 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,500,500,500,21 Feb 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,500,500,500,09 Feb 2017
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,600,1500,600,16 Nov 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,6.0,300,300,300,14 Jul 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,4.0,300,300,300,23 Jun 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,9.0,300,300,300,15 Apr 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,10.0,300,1000,1000,07 Apr 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,4.0,300,300,300,31 Mar 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,5.0,300,300,300,10 Mar 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,300,300,300,02 Mar 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,600,600,600,25 Feb 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,9.0,300,300,300,18 Feb 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,600,600,600,21 Jan 2016
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,2.0,300,300,300,28 Dec 2015
Karnataka,Hassan,Hassan,White Pumpkin,Vegetables,1.0,1000,2000,2000,03 Dec 2015
