State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,20.0,700,1100,800,20 Dec 2019
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,4.0,600,900,750,16 Apr 2013
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,4.0,1000,1350,1125,12 Apr 2013
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,4.0,850,1500,1000,10 Apr 2013
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,1.0,2000,2500,2200,13 Jun 2012
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,4.0,400,700,500,26 May 2012
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,1.0,200,300,250,24 May 2011
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,2.0,200,400,300,23 May 2011
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,1.0,200,400,300,21 May 2011
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,2.0,300,500,400,20 May 2011
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,1.0,300,600,450,19 May 2011
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,2.0,800,1250,1000,26 Nov 2010
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,2.0,850,1200,1000,22 Nov 2010
Karnataka,Kolar,Kolar,White Pumpkin,Vegetables,1.0,850,1400,1250,31 Aug 2010
