State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,67.0,300,800,500,27 Oct 2023
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,26 Apr 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,300,800,500,20 Apr 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,300,700,505,08 Apr 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,800,1200,1004,29 Mar 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,800,1100,1000,17 Feb 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1010,12 Feb 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1010,11 Feb 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,1000,1500,1250,03 Feb 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,1.0,1000,3200,3030,28 Jan 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,13 Jan 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,800,1200,1000,11 Jan 2021
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,800,1200,1000,29 Dec 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,23.0,300,800,496,28 Aug 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,12.0,300,700,496,27 Aug 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,12.0,300,700,496,24 Aug 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,12.0,300,700,453,21 Aug 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,12.0,300,600,496,17 Aug 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,800,1200,1000,06 Aug 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,30 Jul 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,1000,1500,1250,28 Jul 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,300,700,500,16 Jul 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,900,1200,1000,14 Jul 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,300,700,500,13 Jul 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,09 Jul 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,600,1200,1000,12 Apr 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,12.0,300,1000,695,30 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,15.0,800,1200,1000,22 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,20.0,300,700,500,21 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,19.0,900,1200,1000,20 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,56.0,500,1000,857,17 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,63.0,500,1000,682,16 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,28.0,300,800,517,13 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,40.0,300,800,500,12 Mar 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2200,2000,24 Feb 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,300,600,500,06 Feb 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2200,2000,29 Jan 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,800,1200,1000,13 Jan 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,600,1200,811,06 Jan 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,900,1100,1000,04 Jan 2020
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,1700,2400,2000,24 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1300,1000,23 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,400,600,500,19 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,1900,2300,2000,16 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,800,1600,1000,09 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2300,2000,07 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1500,1000,05 Dec 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,16 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,800,1200,1000,13 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,11 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,800,1200,1000,08 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2200,2000,06 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,900,1200,1000,05 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,7.0,1000,1300,1142,04 Nov 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,30 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,1800,2200,2000,19 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,1300,1700,1500,14 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1000,1800,1500,11 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1300,1700,1500,10 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,1000,2000,1200,09 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2200,2000,05 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,900,1200,1000,04 Oct 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,600,900,750,30 Sep 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,03 Sep 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,900,1200,1000,31 Aug 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,28 Aug 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1100,1000,21 Aug 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,19 Aug 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,16 Aug 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,800,1200,1000,13 Aug 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,29 Jul 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,800,1200,1000,11 Jun 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,31 May 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2200,2000,03 May 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,1800,2200,2000,22 Apr 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,1000,2200,2000,20 Apr 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,18.0,300,600,500,11 Apr 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,900,1200,1000,10 Apr 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,300,600,500,09 Apr 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,400,700,500,05 Apr 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,300,700,500,27 Mar 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,500,1100,1000,19 Mar 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,300,700,500,18 Mar 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,1.0,900,1200,1000,11 Feb 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,900,1200,1000,08 Feb 2019
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,900,1300,1000,19 Jun 2018
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,300,600,500,04 Jun 2018
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,900,2000,1000,23 Feb 2018
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,600,800,750,16 Apr 2012
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,17.0,450,650,500,12 Sep 2011
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,300,600,500,14 Feb 2011
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,300,500,400,07 Jan 2011
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,600,800,720,27 Dec 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,600,800,720,27 Dec 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,300,400,350,22 Nov 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,210,370,300,12 Nov 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,200,350,300,13 Oct 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,350,550,450,06 Sep 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,250,350,300,05 Jul 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,650,1000,850,14 Jun 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,7.0,650,1000,850,11 Jun 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,400,750,600,09 Jun 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,600,750,650,24 Apr 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,600,750,650,22 Apr 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,300,550,400,21 Apr 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,300,550,400,19 Apr 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,300,550,400,26 Mar 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,350,500,400,25 Mar 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,300,500,400,09 Mar 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,250,450,300,22 Feb 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,300,550,450,11 Feb 2010
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,16.0,120,200,175,06 Nov 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,350,460,400,23 Oct 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,7.0,450,650,520,22 Oct 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,400,650,520,21 Oct 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,30.0,160,300,265,20 Oct 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,300,650,400,15 Oct 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,400,650,550,06 Oct 2009
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,450,550,500,04 Aug 2008
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,350,550,400,18 Jul 2008
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,300,400,350,13 Jul 2008
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,2.0,450,550,530,02 Jul 2008
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,14.0,350,550,400,30 Jun 2008
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,6.0,200,250,230,05 Jun 2008
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,350,500,450,11 Dec 2007
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,11.0,230,350,270,23 Jan 2006
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,160,220,170,18 Aug 2005
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,10.0,185,300,200,08 Jul 2005
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,9.0,100,200,150,21 Jun 2005
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,1.0,300,360,330,25 Apr 2005
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,5.0,220,350,280,15 Sep 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,9.0,180,250,220,18 Aug 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,220,320,280,27 May 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,200,300,250,21 May 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,200,350,275,16 May 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,3.0,250,350,300,03 Apr 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,250,350,300,10 Mar 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,100,190,150,06 Jan 2003
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,39.0,120,220,170,11 Sep 2002
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,230,300,260,25 Jul 2002
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,235,265,250,15 Jun 2002
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,8.0,250,380,300,17 May 2002
Karnataka,Kolar,Malur,White Pumpkin,Vegetables,4.0,250,300,270,07 May 2002
