State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,10.0,300,800,400,15 Sep 2015
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,8.0,350,750,500,20 Mar 2015
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,18.0,100,300,150,15 Feb 2012
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,7.0,150,250,200,07 Jul 2011
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,10.0,200,300,250,07 May 2011
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,7.0,180,250,200,23 Dec 2010
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,7.0,180,400,200,15 May 2010
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,5.0,150,300,200,15 Feb 2010
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,10.0,150,300,200,01 Feb 2010
Karnataka,Kolar,Srinivasapur,White Pumpkin,Vegetables,5.0,150,300,200,30 Jan 2010
