State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,800,1000,900,17 Mar 2023
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,7.0,1100,1300,1200,16 Mar 2023
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,1600,1800,1700,15 Mar 2023
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,6.0,500,1000,800,10 Mar 2023
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,6.0,1300,1500,1450,25 May 2020
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,1600,1800,1700,21 Aug 2019
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,10.0,800,1000,900,31 Mar 2019
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,20.0,300,400,350,25 Jan 2016
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,11.0,800,900,850,29 Oct 2015
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,800,1000,900,29 Aug 2015
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,7.0,800,1000,900,30 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,11.0,800,1000,900,29 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,6.0,700,800,750,28 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,18.0,800,1000,900,27 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,8.0,600,800,700,26 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,10.0,600,800,700,25 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,16.0,800,1000,900,22 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,12.0,800,1000,900,04 Aug 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,16.0,600,700,650,28 Jul 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,7.0,600,700,650,15 Jul 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,8.0,1600,1800,1700,23 May 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,7.0,1600,1800,1700,22 May 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,1600,1800,1700,06 May 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,8.0,1000,1200,1100,09 Apr 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,10.0,800,1000,900,24 Feb 2014
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,1500,1600,1550,22 Aug 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,1400,1500,1450,21 Aug 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,900,1100,1000,02 May 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,700,800,750,30 Apr 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,1000,1200,1100,24 Apr 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,1200,1400,1300,19 Apr 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,7.0,400,500,450,11 Jan 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,500,600,550,05 Jan 2013
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,500,600,550,10 Dec 2012
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,500,600,550,26 Oct 2012
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,10.0,500,700,600,25 Oct 2012
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,7.0,400,600,500,19 Oct 2012
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,300,500,400,17 Oct 2012
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,300,500,400,12 Oct 2012
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,400,500,450,21 Dec 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,400,600,500,20 Dec 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,400,500,450,17 Dec 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,500,700,600,07 Dec 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,600,800,700,28 Nov 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,700,900,800,04 Oct 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,700,900,800,29 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,500,600,550,26 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,500,600,550,19 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,500,700,600,15 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,500,700,600,14 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,500,600,550,08 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,500,700,600,07 Sep 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,300,400,380,30 Aug 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,300,400,350,26 Aug 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,200,300,250,22 Aug 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,200,300,250,19 Aug 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,300,400,350,05 Aug 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,300,400,350,29 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,250,350,300,22 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,300,400,350,20 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,200,300,250,13 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,300,400,350,12 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,6.0,200,300,250,11 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,300,400,350,07 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,200,300,280,05 Jul 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,400,500,450,24 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,400,500,450,24 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,22 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,22 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,21 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,21 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,20 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,20 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,16 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,15 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,300,500,400,14 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,13 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,10 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,500,450,08 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,400,500,450,06 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,400,500,450,04 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,400,600,500,03 Jun 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,6.0,500,700,600,30 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,5.0,500,700,600,27 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,400,600,500,24 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,500,800,700,18 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,500,800,700,16 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,600,800,700,11 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,700,900,800,10 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,900,1000,950,05 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,900,1000,950,04 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,900,1100,1000,03 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,4.0,800,1000,900,02 May 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,900,1000,950,26 Apr 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,1.0,300,400,350,25 Apr 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,900,1100,1000,21 Apr 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,1600,1800,1700,11 Apr 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,3.0,1700,1900,1800,08 Apr 2011
Karnataka,Mysore,Mysore (Bandipalya),White Pumpkin,Vegetables,2.0,800,1000,900,31 Mar 2011
