State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,18 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,17 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,16 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,12 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,11 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,10 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,08 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,05 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,04 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,03 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,02 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,01 Jan 2024
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,30 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,29 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,26 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,22 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,21 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,20 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,18 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,15 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,13 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,11 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,08 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,07 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,06 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,05 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,04 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,02 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,01 Dec 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,29 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,28 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,27 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,24 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,23 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,22 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,21 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,20 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,18 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,17 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,16 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,15 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,10 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,09 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,06 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,03 Nov 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,31 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,30 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,27 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,26 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,21 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,19 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,18 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,17 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,13 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,11 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,09 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,04 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,03 Oct 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,29 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,27 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,26 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,25 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,20 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,2.0,1383,1383,1383,19 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,16 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,383,1383,1383,15 Sep 2023
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,27 Dec 2021
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,27 Jan 2021
Karnataka,Mysore,Santhesargur,White Pumpkin,Vegetables,1.0,1383,1383,1383,25 Jan 2021
