State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,8.0,200,200,200,25 Apr 2016
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,8.0,250,250,250,25 Nov 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,9.0,250,400,300,26 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,43.0,250,400,300,18 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,15.0,250,400,300,16 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,20.0,250,400,300,13 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,49.0,250,400,300,11 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,55.0,250,400,300,06 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,75.0,250,400,300,05 May 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,10.0,250,400,300,17 Apr 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,15.0,150,300,200,15 Apr 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,150.0,500,700,600,06 Feb 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,30.0,450,600,500,07 Jan 2015
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,1.0,700,900,800,23 Sep 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,1.0,500,700,600,31 Jul 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,13.0,400,600,500,29 May 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,4.0,400,600,500,27 May 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,1.0,400,600,500,24 May 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,16.0,400,600,500,22 May 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,5.0,400,600,500,20 May 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,1.0,450,550,500,28 Jan 2013
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,6.0,250,400,300,17 Dec 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,1.0,450,550,500,05 Sep 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,6.0,300,400,350,06 Jun 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,9.0,200,300,250,01 Jun 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,15.0,200,300,250,29 May 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,22.0,200,500,350,21 May 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,2.0,500,600,550,14 May 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,3.0,400,500,450,08 May 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,8.0,200,300,250,07 May 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,16.0,200,300,250,30 Apr 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,1.0,500,600,550,23 Apr 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,2.0,500,600,550,21 Apr 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,5.0,200,300,250,18 Apr 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,2.0,200,300,250,17 Apr 2012
Karnataka,Shimoga,Thirthahalli,White Pumpkin,Vegetables,10.0,500,600,550,11 Apr 2012
