State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,8.0,250,350,300,18 Dec 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,5.0,250,350,300,11 Dec 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,6.0,250,300,280,27 Nov 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,6.0,200,400,300,20 Nov 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,8.0,200,300,250,30 Oct 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,5.0,200,300,250,23 Oct 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,2.0,250,350,300,16 Oct 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,7.0,250,350,300,09 Oct 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,4.0,250,350,300,18 Sep 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,4.0,300,350,325,28 Aug 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,4.0,250,350,300,14 Aug 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,3.0,300,350,325,31 Jul 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,3.0,250,350,300,26 Jun 2002
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,2.0,200,300,250,31 Dec 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,1.0,200,300,250,10 Dec 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,1.0,200,300,250,29 Oct 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,1.0,200,300,250,22 Oct 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,8.0,200,300,250,08 Oct 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,1.0,200,350,250,03 Sep 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,6.0,300,500,400,23 Apr 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,12.0,200,300,250,26 Mar 2003
Karnataka,Udupi,Udupi,White Pumpkin,Vegetables,8.0,250,350,300,12 Mar 2003
