State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.0,4000,4500,4500,16 Nov 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,2.0,4000,5000,4500,21 Oct 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,4000,4500,4200,16 Oct 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.0,4000,4800,4500,08 Oct 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,2.0,3000,4500,3500,28 Sep 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,4000,4500,4500,26 Sep 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.0,3000,4500,4000,18 Sep 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,2.0,3500,5000,4000,15 Sep 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,3000,4500,4000,05 Sep 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.0,3500,4000,4000,25 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,3500,4500,4000,20 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.8,3500,4500,4000,18 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,3000,4500,4000,14 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.5,5000,6000,6000,11 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,3000,4800,4500,08 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.8,4000,4800,4500,06 Aug 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,2.0,4000,4800,4500,14 Jul 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,0.5,4500,5000,5000,20 Jun 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.5,3500,5000,4500,16 Jun 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.0,3000,4500,4000,10 Jun 2023
Kerala,Idukki,Munnar,White Pumpkin,Vegetables,1.0,3500,4500,4000,03 Jun 2023
