State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.0,675,725,700,31 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.5,625,675,650,27 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,2.0,675,725,700,24 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,2.0,625,675,650,20 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,3.0,500,600,550,10 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.5,500,600,550,06 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.5,500,600,550,03 Dec 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,2.0,475,525,500,29 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.0,500,600,550,26 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,2.0,425,475,450,22 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,2.0,390,410,400,19 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.7,340,360,350,15 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.5,375,425,400,08 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,2.5,325,375,350,05 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.0,390,420,400,01 Nov 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.0,350,450,400,29 Oct 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.0,350,450,400,25 Oct 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,3.0,375,450,400,22 Oct 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.5,440,460,450,18 Oct 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,1.0,350,450,400,11 Oct 2003
Kerala,Idukki,Thodupuzha,Other,Vegetables,3.0,350,450,400,08 Oct 2003
