State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.2,1200,2000,1600,19 Nov 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.11,1200,2000,1600,18 Nov 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.14,1200,2000,1600,14 Nov 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.15,1200,2000,1600,13 Nov 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.09,1200,2000,1600,06 Nov 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.12,1000,2000,1500,27 Jun 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.08,1000,2000,1500,24 Jun 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.15,1000,2000,1500,14 Jun 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.17,1000,2000,1500,07 Jun 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.18,1000,2000,1500,03 Jun 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.15,1000,2000,1500,17 May 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,01 Apr 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,3000,1500,27 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.12,1000,2000,1500,26 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.09,1000,2000,1500,25 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,15 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.3,1000,2000,1500,11 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.09,1000,2000,1500,08 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,05 Mar 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,28 Feb 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,27 Feb 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,26 Feb 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.42,1500,3000,2250,22 Feb 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.25,1000,2000,1500,22 Jan 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.34,1000,2000,1500,18 Jan 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.42,1000,2000,1500,17 Jan 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.42,1000,2000,1500,16 Jan 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.42,1000,2000,1500,04 Jan 2019
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.35,1000,2000,1500,19 Nov 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.35,1000,2500,1500,16 Nov 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.35,1500,3000,1750,15 Nov 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.38,1700,5000,2250,13 Nov 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.08,2000,4000,3000,25 Sep 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,2000,4000,3000,07 Sep 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.25,2000,4000,3750,11 Jun 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.13,1500,3000,2250,04 Jun 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,2.5,1000,2500,1500,06 Apr 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.18,1000,2000,1500,22 Mar 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.14,1200,4500,2000,14 Mar 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.23,1000,3000,2000,08 Mar 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.3,1000,2000,1500,09 Feb 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.22,1000,2000,1500,29 Jan 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1000,2000,1500,25 Jan 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.3,1200,2000,1600,18 Jan 2018
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.2,1200,2000,1600,13 Dec 2017
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1200,2000,1600,12 Dec 2017
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.1,1200,2000,1600,29 Nov 2017
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.23,1200,2000,1600,16 Nov 2017
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.2,1000,2000,1500,06 Nov 2017
Mizoram,Aizawl,New Market Aizawl,Other,Vegetables,0.3,1000,2000,1500,03 Nov 2017
