State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1200,1400,1300,26 Dec 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1200,1400,1300,10 Dec 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1300,1500,1400,04 Dec 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,900,1100,1000,25 Sep 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1400,1600,1500,04 Sep 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1100,1200,1150,17 Jul 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1300,1500,1400,16 Jul 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1600,1800,1700,09 Jul 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,4.0,1800,2000,1900,06 Jul 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1100,1200,1150,28 Jun 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,4.0,1200,1400,1300,25 Jun 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1200,1300,1250,13 Jun 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,7.0,1100,1300,1200,12 Jun 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1200,1225,1220,11 Jun 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1200,1400,1300,06 Jun 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,7.0,1300,1500,1400,25 Apr 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1200,1400,1300,04 Apr 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1100,1300,1200,29 Mar 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,7.0,1200,1400,1300,15 Feb 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1200,1400,1300,09 Feb 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,800,1000,900,11 Jan 2023
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1400,1600,1500,19 Nov 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1400,1430,1420,13 Nov 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1400,1600,1500,28 Oct 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,7.0,1400,1600,1500,21 Oct 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1300,1500,1400,08 Oct 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1200,1400,1300,30 Sep 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1400,1600,1500,15 Sep 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,10.0,1300,1500,1400,13 Sep 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1300,1500,1400,09 Sep 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1400,1600,1500,08 Sep 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1300,1500,1400,05 Sep 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1200,1400,1300,31 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,600,800,700,25 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1100,1300,1200,23 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1100,1300,1200,22 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,8.0,1100,1300,1200,06 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1300,1500,1400,04 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1200,1400,1300,01 Aug 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1300,1500,1400,30 Jul 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,6.0,1300,1500,1400,29 Jul 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1200,1400,1300,25 Jul 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,5.0,1200,1400,1300,24 Jul 2022
Odisha,Koraput,Koraput(Semilguda),White Pumpkin,Vegetables,7.0,1200,1400,1300,20 Jul 2022
