State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1200,1400,1300,11 Dec 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,05 Dec 2023
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1300,1500,1400,17 Nov 2023
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1200,1400,1300,14 Nov 2023
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1300,1500,1400,31 Oct 2023
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1200,1400,1300,27 Sep 2023
Odisha,Koraput,Koraput,Other,Vegetables,10.0,1200,1400,1300,13 Sep 2023
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1200,1400,1300,02 Sep 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1300,1500,1400,28 Aug 2023
Odisha,Koraput,Koraput,Other,Vegetables,4.0,1400,1600,1500,02 Aug 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,19 Jul 2023
Odisha,Koraput,Koraput,Other,Vegetables,4.0,1200,1400,1300,14 Jul 2023
Odisha,Koraput,Koraput,Other,Vegetables,4.0,1400,1600,1500,11 Jul 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,25 Jun 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1235,1220,20 Jun 2023
Odisha,Koraput,Koraput,Other,Vegetables,4.0,900,1100,1000,08 Jun 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1300,1500,1400,22 May 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,21 May 2023
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1100,1300,1200,16 May 2023
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1200,1400,1300,15 Apr 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,13 Apr 2023
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1300,1500,1400,10 Apr 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,04 Apr 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,900,1100,1000,06 Mar 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,27 Feb 2023
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1300,1500,1400,21 Feb 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,15 Feb 2023
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1100,1300,1200,07 Feb 2023
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,18 Nov 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,15 Nov 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,08 Nov 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,05 Nov 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,27 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1400,1600,1500,26 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,25 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,19 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1600,1800,1700,13 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,12 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1400,1600,1500,11 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,10.0,1200,1400,1300,07 Oct 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1300,1500,1400,29 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1200,1400,1300,27 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,10.0,700,900,800,23 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,600,800,700,22 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1400,1600,1500,21 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1400,1600,1500,20 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1200,1400,1300,19 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1400,1600,1500,17 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1300,1500,1400,15 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1200,1400,1300,12 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1400,1600,1500,09 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,12.0,1300,1500,1400,08 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1300,1500,1400,06 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1300,1500,1400,05 Sep 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,24 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1300,1500,1400,17 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,16 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1100,1300,1200,14 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,10.0,1100,1300,1200,10 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1100,1300,1200,08 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1200,1150,06 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1200,1400,1300,05 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1300,1500,1400,04 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1100,1300,1200,02 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1200,1400,1300,01 Aug 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1200,1400,1300,30 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,27 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,4.0,1200,1400,1300,26 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1100,1300,1200,25 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,20 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,19 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1200,1400,1300,18 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1200,1400,1300,16 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,14 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1400,1600,1500,12 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,07 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1200,1400,1300,06 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1200,1400,1300,05 Jul 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1000,1200,1100,30 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,10.0,1000,1200,1100,29 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,28 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1400,1600,1500,27 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1400,1600,1500,26 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,7.0,1000,1200,1100,24 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,19 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,18 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,17 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1000,1200,1100,16 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1200,1400,1300,09 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1200,1400,1300,08 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1000,1200,1100,04 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,8.0,1100,1300,1200,03 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,4.0,900,1100,1000,02 Jun 2022
Odisha,Koraput,Koraput,Other,Vegetables,4.0,1100,1300,1200,27 May 2022
Odisha,Koraput,Koraput,Other,Vegetables,10.0,1200,1400,1300,25 May 2022
Odisha,Koraput,Koraput,Other,Vegetables,6.0,1100,1300,1200,20 May 2022
Odisha,Koraput,Koraput,Other,Vegetables,5.0,1300,1500,1400,18 May 2022
