State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,380,350,29 Sep 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,380,350,27 Sep 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,300,500,400,27 Aug 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,1000,1050,1025,16 Aug 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,1000,1050,1025,15 Aug 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,1000,1100,1050,14 Aug 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,1000,1050,1025,13 Aug 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,650,610,30 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,650,610,29 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,650,610,28 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,650,610,27 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,500,520,510,25 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,500,520,510,23 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,500,520,510,22 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,700,750,715,21 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,700,750,725,20 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,700,650,19 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,700,650,18 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,400,450,430,15 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,400,410,400,14 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,400,410,400,13 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,360,350,12 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,360,350,11 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,360,350,10 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,360,350,09 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,300,360,340,08 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,770,710,06 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,600,770,710,05 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,600,770,710,04 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,650,800,750,03 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,650,800,750,02 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,650,800,750,01 Jul 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,160,28 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,140,200,160,26 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,160,25 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,140,200,160,24 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,140,200,160,23 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,140,200,160,22 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,140,200,160,21 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,160,20 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,140,200,160,19 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,140,200,160,18 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,160,17 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,150,16 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,150,15 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,140,200,150,14 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,140,200,150,13 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,140,200,150,12 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,140,200,150,11 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,160,10 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,140,200,150,09 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,160,250,200,08 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,160,250,200,07 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,160,250,200,06 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,160,250,200,05 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.6,150,200,170,04 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,150,250,200,03 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,150,250,200,02 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,150,250,200,01 Jun 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,165,195,175,31 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,165,195,175,29 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,165,195,175,28 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,165,195,175,27 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,160,200,180,25 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,160,200,180,24 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,160,200,180,23 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,160,200,180,22 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,160,200,180,21 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,170,190,180,19 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,170,190,180,18 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,170,190,180,17 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,180,200,190,15 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.6,180,200,190,13 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,180,200,190,12 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,180,200,190,11 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,180,200,190,10 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,180,200,190,09 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,180,200,190,07 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,180,200,190,06 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,180,200,190,05 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,180,200,190,04 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,180,200,190,03 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,180,200,190,02 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,180,200,190,01 May 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,240,280,260,30 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,200,300,250,28 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,240,280,260,27 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.3,240,260,250,26 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,240,300,260,23 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,240,300,260,22 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,240,300,260,21 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.2,240,300,260,20 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,240,280,260,16 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.6,240,300,260,10 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,280,300,290,07 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,280,300,290,06 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,280,300,290,05 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.4,250,300,275,04 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.5,250,300,275,01 Apr 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,0.1,500,550,525,15 Feb 2010
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,21 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,19 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,16 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,15 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,14 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,13 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,12 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,11 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,752,10 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,09 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,08 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,07 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,06 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,700,800,750,05 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,04 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,03 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,02 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,700,800,750,01 Oct 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,490,510,500,30 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,490,510,500,29 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,490,510,500,28 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,3.0,490,510,500,27 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,3.0,500,600,550,26 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,4.0,500,600,510,24 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,4.0,500,600,510,23 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,3.0,500,600,510,22 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,500,600,510,21 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,1.0,590,620,600,20 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,590,620,600,19 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,590,620,600,18 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,610,640,630,17 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,610,640,630,16 Sep 2011
Punjab,Ferozpur,Makhu,Other,Vegetables,2.0,610,640,630,15 Sep 2011
