State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,300,500,400,19 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,300,500,400,18 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,2.0,200,400,300,17 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,2.0,400,600,500,15 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,2.0,300,500,400,14 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,2.0,500,700,600,13 Jun 2018
Punjab,Moga,Kot ise Khan,White Pumpkin,Vegetables,1.0,1000,1200,1100,12 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,500,700,600,11 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,500,700,600,10 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,500,700,600,09 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,500,700,600,08 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,600,800,700,07 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,1.0,800,1000,900,06 Jun 2018
Punjab,Moga,Kot ise Khan,Other,Vegetables,0.03,500,600,550,08 Jun 2013
Punjab,Moga,Kot ise Khan,Other,Vegetables,0.01,1000,1050,1025,09 Apr 2013
Punjab,Moga,Kot ise Khan,Other,Vegetables,0.01,700,750,700,06 May 2009
