State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.4,400,500,450,21 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.5,350,500,400,20 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.6,300,500,400,19 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.7,400,600,500,06 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.6,250,400,350,05 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.7,300,400,350,04 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,2.0,300,500,400,01 Aug 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.6,400,550,500,29 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.5,250,400,350,28 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.4,300,400,350,27 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.8,3000,4000,3500,23 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,1.0,400,800,600,21 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.5,200,290,240,17 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,1.0,200,340,300,16 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.8,250,400,340,14 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.5,300,400,350,13 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,2.0,200,340,300,11 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.6,200,300,250,09 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.5,300,500,400,04 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.8,200,350,300,03 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.5,350,440,400,01 Jul 2015
Punjab,Patiala,Rajpura,White Pumpkin,Vegetables,0.3,300,400,350,29 Jun 2015
