State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,30 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,29 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,150,250,200,28 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,27 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,26 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.5,200,300,250,25 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,24 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.5,200,300,250,22 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.5,200,300,250,21 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.5,200,300,250,20 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.5,200,300,250,19 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.0,200,300,250,18 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,2.5,200,300,250,17 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,16 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,15 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,4.0,200,300,250,14 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,13 May 2011
Punjab,Sangrur,Sunam,Other,Vegetables,3.0,200,300,250,09 May 2011
