State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.5,500,1500,1200,23 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.1,500,1000,800,31 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.2,400,800,600,30 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,600,1000,800,29 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.0,400,800,600,28 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.5,400,1200,1000,30 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.0,400,800,700,29 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.0,300,600,500,28 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.4,400,800,700,27 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.9,400,1200,1000,26 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,400,1000,800,12 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.2,500,1000,800,11 Mar 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,16.5,500,1500,1200,26 Feb 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.0,600,1200,1000,12 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,40.0,500,1800,1400,11 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,600,1200,1000,10 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.0,500,1500,1200,09 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.0,500,1800,1400,08 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,800,1500,1200,07 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.1,500,1500,1200,06 Oct 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,600,1500,1200,25 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.0,600,1200,1000,24 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,13.0,600,1500,1200,23 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.0,500,1500,1200,20 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.4,500,1500,1200,19 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.5,200,400,300,05 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.5,200,400,300,04 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.0,300,500,400,03 Sep 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.5,400,800,700,29 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.0,400,800,700,28 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,16.3,300,800,600,27 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,400,800,600,26 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.9,400,800,600,24 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.5,300,800,600,23 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,400,800,700,13 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,400,800,800,12 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.5,300,800,600,11 Aug 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,400,600,500,12 Mar 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.4,200,600,500,07 Mar 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,400,600,500,06 Mar 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.5,400,1000,800,08 Feb 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.7,500,1000,800,07 Feb 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.7,500,1000,800,27 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,1000,800,25 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.7,500,1000,800,23 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,12.0,500,1000,800,22 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,16.3,500,1000,800,21 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.2,800,1800,1400,20 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.5,700,1200,1000,19 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.5,400,1000,800,18 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.0,500,1000,800,17 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.3,500,1000,800,16 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.6,500,1000,800,13 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.0,400,1000,800,12 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.8,500,1000,800,11 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.0,500,1000,800,10 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.9,500,1200,1000,06 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.0,300,1000,800,05 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.6,400,1000,800,04 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.0,500,1000,800,03 Jan 2020
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,1400,1100,30 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.4,500,800,700,29 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.0,600,800,800,28 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.0,500,1200,1000,27 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,500,1100,1000,26 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,12.0,500,1500,1200,25 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,1.8,600,1200,1000,24 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,1200,1000,23 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.5,500,1500,1200,22 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.1,500,1500,1300,21 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.1,600,1500,1300,20 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,500,1500,1200,19 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.4,600,1000,900,18 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,500,700,700,17 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.8,400,1200,1000,16 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.6,400,800,700,15 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.5,400,600,500,14 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.0,500,1000,900,13 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,22.0,300,1200,1000,12 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.6,600,1200,1000,11 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.0,400,800,700,10 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.6,400,800,700,09 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.0,400,700,500,08 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.0,400,700,600,07 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,300,1000,500,06 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.6,600,1000,900,02 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.1,400,600,600,01 Dec 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,300,1000,900,30 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,12.0,400,1000,800,29 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.5,600,1200,1000,28 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,33.0,500,1000,900,27 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,500,800,700,26 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,33.0,200,600,500,25 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.7,200,300,300,23 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,600,1200,1000,22 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.4,400,1000,800,19 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,500,1000,900,18 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,500,1000,900,17 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,300,1000,900,16 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,12.4,300,1000,800,14 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,12.0,300,500,500,13 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.2,400,700,600,11 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.2,300,700,600,10 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,300,1000,800,09 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,16.8,300,1200,900,08 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.3,300,600,500,06 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,600,1000,900,03 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,51.1,400,1000,800,02 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,75.9,400,700,600,01 Nov 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,85.4,500,1200,1000,31 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.4,600,1000,900,30 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,50.0,600,1000,900,29 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,80.0,400,1000,800,28 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,300,500,500,27 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.6,600,1400,1200,25 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,1000,800,24 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.4,400,1200,900,23 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,23.3,500,800,700,15 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,181.7,200,600,500,14 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,200.2,600,1000,900,13 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,280.0,400,1000,800,12 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,125.4,300,1000,800,11 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,70.2,500,1300,1000,10 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,28.2,600,1300,1100,09 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,125.8,800,1200,1100,08 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,103.9,500,800,700,07 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,67.0,400,1000,800,05 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,70.0,800,1000,1000,04 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,52.2,400,1200,1000,03 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,75.0,300,1200,1000,02 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,400,700,600,01 Oct 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,800,700,30 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,26.2,400,600,600,29 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.0,300,800,700,28 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.5,500,1000,900,27 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,23.5,600,800,800,26 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.6,400,1000,800,24 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.4,500,1000,800,23 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.2,600,1000,900,22 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.1,600,1000,900,21 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,400,1000,800,20 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,300,1000,800,19 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,13.0,300,600,500,18 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,1000,800,17 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,33.2,400,1000,800,16 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,1.9,500,1000,900,15 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.0,400,1000,800,14 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.9,600,1000,900,13 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.0,400,600,500,10 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,29.5,500,1200,1000,09 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,12.0,600,800,800,08 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.7,700,1200,1100,06 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,74.9,500,1200,1000,05 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.1,500,800,700,04 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,1000,1500,1400,03 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.0,500,1000,900,02 Sep 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,23.5,400,1600,1200,30 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,17.4,600,1800,1400,29 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,32.0,400,1400,1100,28 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.0,300,1000,900,27 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,21.3,800,1600,1400,26 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,16.5,500,1500,1200,25 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.5,600,1800,1400,24 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.2,600,2000,1500,23 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,22.0,400,1400,1100,22 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,400,2000,1400,21 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,24.0,600,1600,1200,20 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,1000,2000,1600,19 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,19.0,400,1200,900,18 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.0,400,1200,900,17 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,37.7,1000,3000,2500,16 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.9,400,3000,2000,15 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.7,600,1000,900,14 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,13.7,800,2000,1600,12 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,17.7,1000,2500,2000,11 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,34.0,500,2000,1600,10 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,40.0,200,1400,1200,09 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,30.0,400,1000,900,07 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.1,300,1500,1100,06 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.5,600,1200,1000,05 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.0,300,800,600,04 Aug 2021
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.0,300,1000,900,03 Aug 2021
