State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Tripura,Dhalai,Kulai,Other,Vegetables,0.5,500,600,550,21 Nov 2006
Tripura,Dhalai,Kulai,Other,Vegetables,0.06,500,550,525,28 Oct 2006
Tripura,Dhalai,Kulai,Other,Vegetables,0.2,600,650,625,18 Oct 2006
Tripura,Dhalai,Kulai,Other,Vegetables,0.3,600,800,700,17 Oct 2006
Tripura,Dhalai,Kulai,Other,Vegetables,0.07,600,800,700,29 Dec 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.09,500,700,600,27 Dec 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.08,400,600,500,09 Nov 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.2,400,600,500,08 Nov 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.07,350,450,400,05 Nov 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.06,400,450,425,02 Nov 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.05,300,500,400,24 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.03,400,600,500,21 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.08,500,550,525,20 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.08,500,550,525,19 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.9,800,1000,900,18 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.03,400,450,425,17 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.6,700,750,725,11 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.05,600,700,650,07 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.1,300,350,325,06 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.07,500,550,525,05 Oct 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.02,600,650,625,30 Sep 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.02,600,650,625,28 Sep 2005
Tripura,Dhalai,Kulai,Other,Vegetables,10.1,900,1000,950,27 Sep 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.03,1000,1050,1025,26 Sep 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.02,600,650,625,24 Sep 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.04,800,900,850,23 Sep 2005
Tripura,Dhalai,Kulai,Other,Vegetables,0.06,500,550,525,22 Sep 2005
