State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,2.0,700,800,750,13 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,3.3,600,700,650,12 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,0.5,850,950,900,11 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,1.2,800,900,850,10 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,3.5,700,800,750,09 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,4.3,700,800,750,08 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,2.8,650,750,700,06 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,1.0,750,850,800,05 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,1.4,650,750,700,04 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,0.8,650,750,700,03 Apr 2020
Uttar Pradesh,Auraiya,Dibiapur,White Pumpkin,Vegetables,0.5,1200,1400,1300,28 Aug 2017
