State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,0.5,250,330,300,18 Nov 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,0.8,400,500,450,28 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,1.5,400,500,450,25 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,25.0,400,500,440,22 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,2.5,400,500,440,21 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,4.0,400,500,450,15 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,4.0,300,450,380,14 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,3.0,330,450,390,09 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,2.0,350,450,400,08 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,3.0,600,700,650,04 Oct 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,1.5,500,600,540,30 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,2.0,500,600,540,29 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,2.0,500,600,560,27 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,2.5,450,600,550,26 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,7.0,300,400,360,25 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,6.0,300,400,350,24 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,13.0,300,400,330,23 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,6.0,300,400,330,22 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,8.0,300,400,330,20 Sep 2003
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,10.0,300,400,340,19 Sep 2003
