State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,0.5,1100,1115,1110,16 Nov 2023
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,9.0,300,450,400,18 Mar 2020
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,10.0,300,400,350,17 Mar 2020
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,10.0,300,400,350,16 Mar 2020
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,6.0,300,400,350,04 Mar 2020
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,9.0,250,350,300,01 Mar 2020
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,45.0,150,300,250,31 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,72.0,150,250,200,30 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,15.0,150,250,200,28 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,35.0,150,250,200,27 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,29.0,200,300,250,24 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,50.0,200,300,250,23 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,68.0,200,300,250,22 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,89.0,200,300,250,21 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,60.0,200,350,300,20 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,45.0,150,250,200,19 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,19.0,150,250,200,18 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,76.0,150,250,200,17 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,101.0,150,250,200,16 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,25.0,150,250,200,15 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,30.0,150,250,200,14 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,40.0,150,220,200,13 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,94.5,150,250,200,12 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,55.0,150,300,250,11 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,50.0,150,250,200,10 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,71.0,150,250,200,09 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,36.0,150,250,200,08 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,24.0,150,250,200,07 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,87.0,200,300,250,06 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,55.0,200,300,250,04 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,15.0,200,300,250,03 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,21.0,200,300,250,02 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,56.0,200,300,250,01 Oct 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,94.0,200,300,250,30 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,300.0,200,300,250,25 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,80.0,200,300,250,24 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,80.0,200,300,250,23 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,200.0,200,300,250,22 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,240.0,200,300,250,21 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,80.0,200,300,250,15 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,70.0,200,300,250,14 Sep 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,45.0,200,300,250,30 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,70.0,200,300,250,19 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,80.0,200,300,250,18 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,90.0,200,300,250,17 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,90.0,200,300,250,16 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,80.0,200,300,250,13 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,170.0,200,300,250,12 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,170.0,200,300,250,11 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,107.0,200,300,250,06 May 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,65.0,200,300,250,24 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,120.0,200,300,250,23 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,35.0,200,300,250,16 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,40.0,200,300,250,15 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,50.0,200,300,250,14 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,70.0,200,300,250,11 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,80.0,200,300,250,10 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,60.0,200,300,250,08 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,60.0,200,300,250,07 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,60.0,200,300,250,06 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,200,300,250,02 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,200,300,250,01 Apr 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,100.0,200,300,250,28 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,270.0,200,300,250,27 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,50.0,200,300,250,26 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,60.0,200,300,250,25 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,350.0,200,300,250,16 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,200.0,100,300,200,15 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,200,300,250,07 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,200,300,250,06 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,120.0,200,300,250,03 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,200,300,250,01 Mar 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,120.0,200,300,250,28 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,160.0,200,300,250,26 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,110.0,100,300,200,24 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,100,300,200,23 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,100.0,200,300,225,21 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,100.0,200,300,250,20 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,100.0,200,300,250,18 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,300.0,200,300,250,17 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,100.0,200,300,250,14 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,180.0,200,300,250,06 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,310.0,200,300,250,05 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,150.0,200,350,250,02 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,15.0,200,300,250,01 Feb 2019
Uttar Pradesh,Fatehpur,Jahanabad,Other,Vegetables,200.0,200,300,250,19 Jan 2019
