State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,54.0,280,310,300,31 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,68.0,280,310,300,19 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,30.0,280,310,300,18 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,43.0,280,310,300,17 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,18.0,290,310,300,14 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,211.0,280,320,300,13 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,21.0,290,340,300,12 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,25.0,290,350,300,11 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,63.0,290,310,300,10 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,59.0,280,305,300,09 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,77.0,260,360,300,08 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,62.0,280,310,300,07 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,100.0,290,360,300,06 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,69.0,280,320,300,05 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,80.0,280,310,300,04 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,1.6,380,500,400,03 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,42.0,285,310,300,02 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,69.0,280,320,300,01 Dec 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,95.0,250,315,300,30 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,133.0,250,310,300,29 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,50.0,200,360,300,28 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,110.0,200,310,300,27 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,181.0,200,315,300,25 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,22.0,200,315,300,23 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,52.0,200,310,300,22 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,122.0,200,315,300,21 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,59.0,200,310,300,20 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,0.4,200,315,300,19 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,104.0,1100,3000,2000,17 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,56.5,200,305,300,16 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,153.0,200,310,300,15 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,130.0,200,310,300,14 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,50.0,200,310,300,13 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,150.3,250,350,300,12 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,84.0,250,350,300,11 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,170.0,200,350,300,10 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,80.0,250,350,300,07 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,28.0,150,350,300,06 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,52.0,200,350,300,05 Nov 2017
Uttar Pradesh,Kanpur,Varipaal,White Pumpkin,Vegetables,24.0,200,350,300,04 Nov 2017
