State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,5.0,250,270,260,03 Mar 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,9.0,250,270,260,02 Mar 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,35.0,250,280,270,01 Mar 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,15.0,250,270,260,29 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,250,270,260,28 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,24.0,260,280,270,27 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,15.0,250,270,260,25 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,11.0,260,295,275,24 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,30.0,260,300,270,23 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,27.0,250,280,260,22 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,260,330,330,20 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,25.0,260,340,330,17 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,25.0,260,330,330,16 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,26.0,260,330,275,15 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,25.0,300,350,330,14 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,43.5,300,340,330,13 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,15.0,300,330,330,11 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,28.0,300,330,330,10 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,34.0,290,350,330,09 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,30.0,300,350,330,08 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,25.0,300,330,330,07 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,300,330,330,04 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,300,330,330,03 Feb 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,8.0,310,340,330,31 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,8.0,300,330,330,30 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,300,380,335,29 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,310,330,330,26 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,320,375,350,22 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,8.0,260,330,330,21 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,20.0,260,330,330,20 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,8.0,280,320,320,18 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,290,330,310,16 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,8.0,315,315,315,15 Jan 2020
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,White Pumpkin,Vegetables,10.0,310,380,335,14 Jan 2020
