State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.4,405,425,415,11 Apr 2022
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.4,410,430,420,30 Jan 2022
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.2,415,430,420,20 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.4,400,420,410,19 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.7,400,420,410,18 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.3,410,430,420,15 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.6,410,430,420,14 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.4,450,470,460,10 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.3,410,430,425,05 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.5,410,430,415,04 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.5,400,420,410,02 Nov 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.6,400,420,410,31 Oct 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.9,410,430,420,30 Oct 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.6,400,420,410,29 Oct 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.3,410,430,420,28 Oct 2021
Uttar Pradesh,Muzaffarnagar,Shahpur,White Pumpkin,Vegetables,0.8,410,430,420,27 Oct 2021
