State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.5,250,350,300,23 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,21 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.7,250,350,300,20 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.2,250,350,300,19 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,18 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,17 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,16 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,13 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.7,250,350,300,12 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.5,250,350,300,11 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,07 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.7,250,350,300,06 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,05 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,04 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,03 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.5,250,350,300,02 Mar 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.6,250,350,300,29 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.8,250,350,300,28 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.7,250,350,300,27 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,26 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.8,250,350,300,25 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,0.9,250,350,300,24 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,22 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,21 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.2,250,350,300,20 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,19 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,18 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,17 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,15 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,14 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,13 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,12 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,11 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.5,250,350,300,10 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,3.6,250,350,300,08 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,07 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.8,250,350,300,05 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.5,250,350,300,04 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.5,250,350,300,03 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,6.3,250,350,300,01 Feb 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,3.8,250,350,300,31 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,3.6,250,350,300,30 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,3.2,250,350,300,29 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.7,250,350,300,28 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.5,250,350,300,27 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.5,250,350,300,25 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,24 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.7,250,350,300,23 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,22 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.2,250,350,300,21 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,20 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,18 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,17 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,16 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.0,250,350,300,15 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,14 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.5,250,350,300,13 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.0,250,350,300,11 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,1.8,250,350,300,10 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,2.7,250,350,300,09 Jan 2020
Uttar Pradesh,Raebarelli,Lalganj,White Pumpkin,Vegetables,5.4,250,350,300,08 Jan 2020
