State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,8.0,540,600,570,15 Jan 2018
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,8.0,500,525,510,18 Sep 2017
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,3.0,450,550,490,07 Jul 2017
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,4.0,450,550,500,06 Jul 2017
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,4.0,500,600,530,05 Jul 2017
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,5.0,500,600,540,04 Jul 2017
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,6.0,380,401,390,03 Jan 2010
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,8.0,285,300,290,01 Jan 2010
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,10.0,340,370,360,17 Dec 2009
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,12.0,270,300,280,15 Dec 2009
Uttar Pradesh,Saharanpur,Chutmalpur,Other,Vegetables,40.0,310,380,340,09 Dec 2009
