State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,5.4,0,0,160,28 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,28.4,0,0,160,25 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,1.8,0,0,160,24 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,15.0,0,0,160,23 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,15.0,0,0,160,22 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,1.8,0,0,160,20 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,6.7,0,0,160,18 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,9.6,0,0,160,16 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,8.0,0,0,160,14 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,7.9,0,0,160,11 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,5.4,0,0,275,10 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,5.4,0,0,140,09 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,7.9,0,0,160,06 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,11.9,0,0,160,04 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,9.5,0,0,160,03 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,15.0,0,0,160,02 Dec 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,1.8,0,0,160,27 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,8.0,0,0,160,26 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,5.4,0,0,160,25 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,10.8,0,0,160,23 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,27.6,0,0,160,21 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,7.0,0,0,160,20 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,7.0,0,0,160,19 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,3.0,0,0,160,18 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,20.0,0,0,160,15 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,9.0,0,0,160,14 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,6.0,0,0,160,12 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,3.5,0,0,160,11 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,20.0,0,0,160,09 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,26.4,0,0,160,08 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,1.8,0,0,160,07 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,40.0,0,0,160,06 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,14.0,0,0,160,05 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,32.0,0,0,160,04 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,12.0,0,0,160,01 Nov 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,20.5,0,0,160,24 Sep 2011
Uttar Pradesh,Unnao,Purwa,White Pumpkin,Vegetables,25.0,0,0,160,23 Sep 2011
