State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,5.2,200,400,300,14 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,5.2,200,400,300,13 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,3.9,200,500,400,07 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,5.0,200,500,400,06 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,4.1,200,500,400,04 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,3.2,200,500,400,03 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,6.3,200,500,400,02 Aug 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,4.7,200,500,400,30 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,6.8,200,500,375,21 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,5.8,200,400,275,14 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,6.4,200,400,300,12 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,6.3,200,400,300,11 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,6.4,200,400,350,10 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,5.5,200,400,275,08 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,3.3,200,400,300,07 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,6.0,200,400,375,06 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,4.1,200,500,400,04 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,7.6,200,400,300,03 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,5.0,200,400,300,02 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,2.1,200,400,300,01 Jul 2007
Uttrakhand,Haridwar,Roorkee,Other,Vegetables,8.5,200,400,375,28 Jun 2007
