State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.6,1200,1300,1250,31 Jan 2018
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,1000,1100,1050,28 Nov 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.2,1100,1200,1150,27 Nov 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.8,700,800,750,16 Nov 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.6,800,900,850,15 Nov 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.4,700,800,750,06 Nov 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.5,800,900,850,02 Nov 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,3.8,900,1000,950,30 Oct 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,4.0,850,950,900,29 Oct 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,4.5,800,900,850,28 Oct 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.8,800,900,850,27 Oct 2017
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.2,800,900,850,28 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.0,800,900,850,24 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,700,800,750,09 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.5,800,900,850,08 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.1,850,950,900,05 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.8,800,900,850,04 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,850,950,900,03 Nov 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,5.0,900,1000,950,31 Oct 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.5,850,950,900,24 Oct 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,3.0,850,950,900,21 Oct 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.5,850,950,900,13 Oct 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.1,800,900,850,03 Oct 2016
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,5.2,612,800,706,19 Nov 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.2,600,800,700,09 Nov 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,3.0,600,800,700,06 Nov 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.6,600,1000,800,05 Nov 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.8,800,900,850,21 Oct 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.6,700,800,750,20 Oct 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.1,700,800,750,07 Oct 2015
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,600,800,700,27 Nov 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,600,800,700,24 Nov 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.1,600,800,700,13 Nov 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.5,650,850,750,11 Nov 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,2.1,600,800,700,10 Nov 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.5,600,800,700,28 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.6,700,1100,900,26 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.5,800,1200,1000,24 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.8,700,1000,800,23 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.8,700,1000,850,20 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.2,750,950,850,18 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.6,700,1100,900,13 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,5.5,650,850,750,07 Oct 2014
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.5,600,700,650,07 Nov 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.7,600,800,700,05 Nov 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,300,500,400,28 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.0,400,600,500,27 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.5,400,600,500,25 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.4,400,600,500,24 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.2,500,700,600,22 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,1.0,500,700,600,15 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,0.3,600,700,650,14 Oct 2013
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,20.0,210,230,220,08 Nov 2005
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,20.0,200,205,202,15 Oct 2005
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,35.0,215,300,225,26 Nov 2004
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,5.0,210,450,220,04 Nov 2004
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,12.0,200,350,205,15 Oct 2004
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,10.0,200,350,205,12 Oct 2004
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,10.0,200,300,205,05 Oct 2004
Uttrakhand,Nanital,Ramnagar,Other,Vegetables,10.0,200,250,200,03 Oct 2004
