State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,2.5,250,300,300,29 Apr 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.5,250,300,280,28 Apr 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,350,28 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,400,25 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,350,23 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,350,22 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,320,13 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.4,300,450,320,03 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,450,320,02 Jan 2017
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,200,350,320,30 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,320,29 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,320,28 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,300,350,320,27 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,320,26 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,340,340,340,25 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,330,24 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,350,21 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,300,350,330,20 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,320,19 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,300,350,330,18 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,15 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,11 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,350,10 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,09 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,300,350,350,07 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,5.0,350,400,400,05 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,300,450,330,04 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,01 Dec 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,350,400,380,29 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.0,350,400,370,28 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.6,350,400,370,27 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,1.1,350,400,380,25 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,24 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,23 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,400,350,22 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.9,350,400,400,21 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.6,300,350,320,20 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.7,350,400,370,19 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.4,350,400,370,18 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,400,17 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.6,350,400,380,14 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,350,400,370,08 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.4,300,350,330,07 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.5,300,350,350,03 Nov 2016
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Vegetables,0.3,300,350,330,30 Oct 2016
