State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.03,2000,3000,2500,18 Mar 2019
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.06,2000,3000,2500,08 Feb 2017
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.05,2000,3000,2500,06 Feb 2017
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.3,4000,6000,5000,26 Oct 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.4,4500,6000,5000,25 Oct 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.05,6500,8000,7000,27 Jun 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.05,6000,8000,7000,27 May 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.05,6000,8000,7000,26 May 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.05,6000,8000,7000,24 May 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.03,4000,5000,4500,30 Apr 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.25,1000,2000,1500,26 Apr 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.06,2000,4000,2500,06 Apr 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.06,2000,3000,2500,04 Feb 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.08,2000,3000,2500,28 Jan 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.06,1500,2000,1800,22 Jan 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.08,2000,3000,2500,11 Jan 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.15,2000,3000,2500,07 Jan 2016
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.04,4000,5000,4500,04 Dec 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.1,2000,3000,2500,26 Nov 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.15,2000,3000,2500,20 Nov 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.08,3000,4000,3500,05 Nov 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.07,2000,3000,2500,03 Nov 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.08,2000,3000,2500,02 Nov 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.12,3000,4000,3500,30 Oct 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.12,3000,4000,3500,28 Oct 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.08,3000,4000,3500,27 Oct 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.15,4000,5000,4500,07 Oct 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.15,3000,4000,3500,05 Oct 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.15,2000,3000,2500,30 Sep 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.06,3000,4000,3500,29 Sep 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.08,3000,4000,3500,26 Sep 2015
Andaman and Nicobar,North and Middle Andaman,Diglipur,Other,Vegetables,0.12,3000,4000,3500,22 Sep 2015
