State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,1500,2000,1750,16 Jun 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,800,1000,900,26 May 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,1000,1500,1250,19 May 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,1000,1500,1250,12 May 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,800,1000,900,21 Apr 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,800,1000,900,14 Apr 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,2.0,800,1000,900,07 Apr 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,800,1000,900,24 Mar 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,1.0,800,1000,900,10 Mar 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,2.0,800,1000,900,03 Mar 2014
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,5.0,3000,4000,3500,28 Oct 2013
Andhra Pradesh,East Godavari,Tuni,Other,Vegetables,4.0,3000,4000,3500,14 Oct 2013
