State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,600,700,660,31 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,600,650,630,30 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,600,700,640,29 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,640,750,700,28 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,700,750,720,27 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,540,650,600,26 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,520,700,560,25 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,500,600,540,24 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,7.0,700,800,740,23 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,600,700,660,22 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,500,600,540,21 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,520,600,560,20 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,7.0,700,800,740,19 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,600,700,640,18 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,600,700,640,17 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,600,700,660,15 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,500,550,530,13 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,460,550,500,12 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,460,500,480,11 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,500,440,10 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,460,500,480,09 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,500,440,08 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,460,500,480,07 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,460,500,480,06 Dec 2005
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,400,450,420,31 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,360,400,380,30 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,420,29 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,400,450,420,28 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,420,27 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,8.0,400,450,430,26 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,430,25 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,430,24 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,430,23 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,420,500,460,22 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,460,500,480,21 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,430,20 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,420,500,460,19 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,460,500,480,18 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,460,500,480,17 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,420,500,460,16 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,420,500,460,15 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,400,450,430,14 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,380,400,390,13 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,420,500,460,12 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,480,500,490,11 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,380,400,390,10 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,480,500,490,09 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,380,400,390,08 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,480,500,490,07 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,320,400,360,06 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,320,400,360,05 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,480,500,490,04 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,360,400,380,03 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,380,400,390,02 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,360,400,380,01 Dec 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,380,400,390,29 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,300,350,330,28 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,480,500,490,27 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,460,500,480,26 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,300,350,330,25 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,300,350,330,24 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,360,400,380,23 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,460,500,480,22 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,480,500,490,21 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,480,500,490,20 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,460,500,480,19 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,480,500,490,18 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,460,500,480,17 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,480,500,490,16 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,8.0,460,500,480,15 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,460,500,480,14 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,380,400,390,13 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,520,600,560,12 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,560,600,580,11 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,560,600,580,10 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,4.0,520,600,560,09 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,560,600,580,08 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,520,600,560,07 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,6.0,560,600,580,06 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,7.0,480,500,490,05 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,7.0,480,500,490,04 Nov 2006
Andhra Pradesh,Krishna,Vijayawada,Other,Vegetables,5.0,620,700,660,03 Nov 2006
