State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Assam,Cachar,Cachar,Other,Vegetables,2.0,600,800,700,19 May 2009
Assam,Cachar,Cachar,Other,Vegetables,0.8,500,650,600,18 Jun 2007
Assam,Cachar,Cachar,Other,Vegetables,3.5,900,1250,1000,17 May 2007
Assam,Cachar,Cachar,Other,Vegetables,6.8,700,950,800,05 Mar 2007
Assam,Cachar,Cachar,Other,Vegetables,1.0,1100,1350,1200,23 Nov 2006
Assam,Cachar,Cachar,Other,Vegetables,0.6,600,750,700,15 Nov 2006
Assam,Cachar,Cachar,Other,Vegetables,1.0,600,900,700,18 Oct 2006
Assam,Cachar,Cachar,Other,Vegetables,0.8,650,900,800,27 Sep 2006
Assam,Cachar,Cachar,Other,Vegetables,1.2,600,950,700,30 Aug 2006
Assam,Cachar,Cachar,Other,Vegetables,0.6,600,900,800,19 Aug 2006
Assam,Cachar,Cachar,Other,Vegetables,1.5,650,950,800,17 Aug 2006
Assam,Cachar,Cachar,Other,Vegetables,1.0,400,650,500,02 Jun 2006
Assam,Cachar,Cachar,Other,Vegetables,1.5,300,600,500,03 May 2006
Assam,Cachar,Cachar,Other,Vegetables,1.6,400,600,500,02 May 2006
Assam,Cachar,Cachar,Other,Vegetables,1.5,350,600,450,17 Apr 2006
Assam,Cachar,Cachar,Other,Vegetables,1.0,350,500,400,10 Apr 2006
