State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,3200,3300,3250,30 Oct 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,3200,3300,3250,29 Oct 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2800,3000,2900,28 Oct 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,1600,1700,1650,24 Oct 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,2.5,2000,2500,2400,22 Oct 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,8.0,2400,2600,2500,27 Sep 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2000,2500,2400,16 Sep 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,2400,2900,2800,02 Sep 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,8.0,2400,2600,2500,26 Aug 2019
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2500,2600,2550,02 Nov 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2400,2500,2450,31 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2500,2600,2550,30 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2600,2700,2650,29 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2500,3000,2800,26 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2600,2700,2650,25 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2800,3000,2900,24 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2000,3000,2500,22 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2600,2700,2650,11 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2700,2800,2750,10 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2700,2800,2750,09 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2700,2800,2750,08 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,2600,2700,2650,06 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2600,2700,2650,05 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2700,2800,2750,04 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2600,2700,2650,03 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,2400,2600,2500,02 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2800,3000,2900,01 Oct 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.0,2400,2600,2500,29 Sep 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2700,2800,2750,28 Sep 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,4.0,2600,2700,2650,26 Sep 2018
Assam,Darrang,Kharupetia,Yam (Ratalu),Vegetables,3.5,2400,2500,2450,25 Sep 2018
