State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,3000,4000,3500,09 May 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2800,3500,3100,06 May 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,3000,3600,3300,29 Apr 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,1.5,2600,3000,2800,25 Apr 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,1.5,2400,2800,2600,22 Apr 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,08 Apr 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,3000,2800,30 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2700,3000,2800,28 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,3000,2800,26 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2800,3000,2900,25 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,3000,2800,19 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,2800,2700,18 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,3000,2700,15 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,3000,2800,14 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2500,2800,2600,13 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,2800,2700,08 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,2800,2700,06 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,2800,2700,05 Mar 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,2800,2700,28 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2600,2800,2700,27 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2500,2800,2600,26 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2500,3600,2800,25 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,8.0,2400,2600,2500,22 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,21 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,20 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,16 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,14 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2400,2600,2500,12 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,08 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2400,2600,2500,07 Feb 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,1800,2400,2200,30 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,1.5,2000,2400,2200,22 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2000,2400,2200,19 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2000,2400,2200,11 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2000,2400,2200,10 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2000,2400,2200,07 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2000,2400,2200,04 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,1800,2200,2000,01 Jan 2019
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,1800,2200,2000,21 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2000,2600,2400,19 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2000,2800,2400,17 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2000,2800,2500,14 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,1800,2400,2000,11 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,1800,2400,2200,10 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,1800,2400,2100,06 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.5,2000,2600,2500,03 Dec 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2000,2400,2200,17 Nov 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2000,2400,2200,16 Nov 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,1500,2000,1800,31 Oct 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,1500,2000,1800,29 Oct 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2000,3000,2400,25 Oct 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2400,3000,2500,20 Oct 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,1800,2000,1900,11 Oct 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2400,3000,2800,03 Oct 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,2.0,2000,2400,2200,17 Sep 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2400,2800,2600,14 Sep 2018
Assam,Kamrup,Pamohi(Garchuk),Yam (Ratalu),Vegetables,3.0,2400,2800,2600,13 Sep 2018
