State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1300,1500,1400,27 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1200,1400,1300,21 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1300,1500,1400,19 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1300,1500,1400,18 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1300,1500,1400,17 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1400,1600,1500,15 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1400,1600,1500,14 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1400,1500,1500,13 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1000,1300,1200,06 Oct 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1300,1500,1400,09 Aug 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1200,1400,1300,05 Aug 2016
Assam,Nagaon,Lanka,Other,Vegetables,2.0,1200,1400,1300,31 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,2.0,1200,1400,1300,30 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,2.5,1200,1400,1300,28 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,4.0,1200,1400,1300,27 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,4.0,1200,1400,1300,26 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1200,1400,1300,22 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,2.5,1200,1400,1300,21 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,3.0,1200,1400,1300,20 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,4.0,1200,1400,1300,19 Jul 2016
Assam,Nagaon,Lanka,Other,Vegetables,6.5,1200,1400,1330,12 Nov 2014
Assam,Nagaon,Lanka,Other,Vegetables,2.0,900,1100,1000,16 Nov 2013
Assam,Nagaon,Lanka,Other,Vegetables,1.2,700,800,700,03 Nov 2011
Assam,Nagaon,Lanka,Other,Vegetables,0.5,700,800,750,02 Nov 2011
Assam,Nagaon,Lanka,Other,Vegetables,0.5,1100,1300,1200,21 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,0.5,1100,1300,1200,20 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1000,1200,1100,19 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,0.6,1100,1300,1200,18 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,0.6,1000,1100,1050,16 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.3,1100,1300,1200,11 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1000,1200,1100,07 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.6,1000,1200,1100,06 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1000,1200,1100,05 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1000,1200,1100,04 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.8,1000,1200,1100,03 Nov 2009
Assam,Nagaon,Lanka,Other,Vegetables,2.0,1000,1200,1100,30 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1000,1100,1050,28 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.5,1000,1200,1100,27 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,1.0,1100,1300,1200,23 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,2.5,1100,1300,1200,22 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,2.8,1300,1500,1400,21 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,2.0,1200,1300,1200,20 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,2.0,1200,1300,1200,19 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,2.3,1100,1200,1100,16 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,4.5,1100,1200,1100,15 Oct 2009
Assam,Nagaon,Lanka,Other,Vegetables,3.0,1100,1200,1100,13 Oct 2009
