State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.9,900,1100,1050,30-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1,800,1000,950,29-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.4,700,800,750,24-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,600,800,750,23-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1,700,800,775,22-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.3,700,800,750,20-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.4,600,800,700,19-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2,750,1000,850,18-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2,800,1000,900,13-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,4.8,900,1000,950,12-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.3,900,1100,1000,10-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,1000,1100,1050,09-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,6.8,800,1400,1100,08-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.8,1000,1400,1200,06-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1200,1300,1250,05-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,5.5,1200,1500,1300,04-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.8,1200,1400,1300,02-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.3,1100,1400,1300,01-Dec-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.9,1100,1300,1200,29-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,6.2,1200,1600,1500,28-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1,950,1300,1100,26-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.2,1000,1300,1100,24-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.6,1100,1300,1250,22-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.6,1100,1300,1200,21-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.9,1000,1200,1150,20-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1100,1300,1250,19-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.2,1100,1300,1250,17-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.8,800,1300,1100,15-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.6,800,1300,1200,14-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.1,800,1300,1200,13-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1000,1400,1200,10-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.9,1000,1400,1300,08-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.9,1200,1500,1400,07-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,1250,1500,1400,05-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1300,1500,1450,04-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,1200,1500,1400,03-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.4,1250,1700,1400,01-Nov-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.9,1400,1600,1550,31-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,1400,1600,1500,28-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1000,2000,1600,27-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1500,1700,1650,25-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1350,1750,1600,24-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.9,1400,2000,1700,23-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.4,1500,1750,1650,22-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1200,1750,1600,21-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1250,1500,1450,20-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1200,1700,1500,18-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1400,1600,1500,15-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.8,1500,2000,1800,14-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1750,2000,1900,13-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.7,2000,2500,2400,09-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1900,2000,1950,08-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.8,1750,2000,1900,07-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1500,1800,1750,06-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1500,1750,1700,02-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.7,1800,2000,1950,01-Oct-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.9,1750,2000,1900,30-Sep-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1750,2250,2100,29-Sep-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1400,1500,1450,30-Jul-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1600,1700,1650,11-Jul-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1500,1700,1650,09-Jul-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.2,1400,1500,1450,19-Jun-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1500,1600,1550,10-May-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.1,1200,1300,1275,21-Apr-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.4,1000,1100,1075,08-Apr-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.7,700,800,725,28-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,750,800,775,22-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.8,700,800,750,21-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,650,700,675,20-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.9,700,800,775,13-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.6,700,750,725,11-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.6,600,700,650,10-Mar-03
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.2,700,850,775,30-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,72.5,700,750,725,28-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.1,600,750,675,27-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1,600,800,700,22-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,4.2,700,800,775,20-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.7,750,1000,900,16-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.3,800,1000,900,15-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.6,800,1100,950,14-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,12,800,1100,1000,13-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,800,1100,950,11-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.6,600,1100,850,10-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,800,1100,975,09-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,900,1100,1025,08-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,14.7,900,1200,1000,07-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.2,900,1000,950,06-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,4.6,1000,1200,1150,03-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1000,1200,1150,01-Dec-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,3.6,1000,1500,1300,30-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.9,500,1100,750,23-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.8,1000,1250,1150,22-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.1,1000,1300,1200,19-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.2,1000,1200,1100,17-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.6,1000,1500,1275,02-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.1,1200,1400,1350,01-Nov-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1000,1800,1600,29-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1400,1800,1600,28-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.7,850,1750,1500,26-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.2,1600,1800,1750,23-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.6,1500,1750,1650,20-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,1900,2000,1975,15-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,4.5,1800,2250,2100,09-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,1900,2500,2000,07-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1900,2500,2000,05-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,1900,2500,2300,04-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,2500,3000,2800,02-Oct-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.8,1500,1700,1650,20-Sep-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1500,1800,1750,15-Sep-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.7,1500,1800,1750,28-Aug-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.3,2600,2700,2650,19-Jul-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.2,1400,1500,1450,16-Jul-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.2,2900,3000,2975,14-Jul-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.1,1000,1300,1200,07-Jul-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.4,1200,1300,1250,26-Jun-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.1,1500,1600,1550,23-Jun-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.1,1000,1100,1050,21-Jun-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1,1200,1500,1400,04-May-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1,1000,1500,1300,03-May-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.7,1400,1500,1450,28-Apr-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,2.5,1000,1100,1050,02-Apr-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.5,1000,1200,1150,26-Mar-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,1.7,1000,1100,1050,16-Mar-04
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,0.5,900,1000,975,25-Feb-04
