State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,1.9,1000,1200,1100,10 Mar 2021
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.8,1000,1100,1000,09 Mar 2021
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.3,1000,1500,1300,18 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.2,1500,1600,1500,12 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.15,800,1000,900,07 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.15,1000,1200,1100,06 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.15,800,900,800,05 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.2,1500,1800,1700,04 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.5,1000,1100,1000,01 May 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.5,1000,1200,1100,30 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.25,1000,1500,1200,29 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.2,1000,1500,1200,28 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.4,1000,1200,1100,27 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.6,700,1300,1000,23 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.65,1000,1500,1200,21 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.5,1000,1100,1000,20 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.25,1000,1200,1100,18 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,0.37,700,1000,800,17 Apr 2020
Gujarat,Amreli,Dhari,Yam (Ratalu),Vegetables,1.05,700,1000,800,16 Apr 2020
