State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.66,1300,1400,1350,01 Feb 2011
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.24,1000,1100,1000,10 Mar 2010
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.24,1100,1200,1150,25 Jan 2010
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.24,1000,1300,1200,23 Jan 2010
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.24,1000,1200,1100,22 Jan 2010
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.3,1800,2000,2000,02 Jan 2010
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.3,1800,2000,1800,01 Jan 2010
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.3,1800,2000,1900,04 Dec 2009
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.54,1800,2000,1900,03 Dec 2009
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,0.48,1800,2000,1900,02 Dec 2009
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Other,Vegetables,1.0,1800,2000,1900,01 Dec 2009
