State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Anand,Anand,Other,Vegetables,1.5,400,500,450,09 Jan 2006
Gujarat,Anand,Anand,Other,Vegetables,1.0,600,800,700,07 Jan 2006
Gujarat,Anand,Anand,Other,Vegetables,1.0,600,800,700,05 Jan 2006
Gujarat,Anand,Anand,Other,Vegetables,0.4,500,600,600,30 Dec 2005
Gujarat,Anand,Anand,Other,Vegetables,0.2,550,550,550,29 Dec 2005
Gujarat,Anand,Anand,Other,Vegetables,0.4,500,600,600,28 Dec 2005
Gujarat,Anand,Anand,Other,Vegetables,0.2,550,550,550,26 Dec 2005
Gujarat,Anand,Anand,Other,Vegetables,0.4,500,600,600,24 Dec 2005
Gujarat,Anand,Anand,Other,Vegetables,1.0,900,1000,950,19 Jan 2004
Gujarat,Anand,Anand,Other,Vegetables,1.0,900,1000,950,03 Jan 2004
Gujarat,Anand,Anand,Other,Vegetables,1.0,1000,1100,1100,02 Jan 2004
Gujarat,Anand,Anand,Other,Vegetables,1.6,900,900,900,01 Jan 2004
Gujarat,Anand,Anand,Other,Vegetables,1.2,1250,1250,1250,28 Dec 2003
Gujarat,Anand,Anand,Other,Vegetables,1.2,1250,1250,1250,20 Dec 2003
