State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.3,800,900,850,11 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.3,1000,1200,1100,10 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.12,800,900,850,09 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.2,1100,1400,1200,08 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.2,1200,1400,1300,06 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.4,1200,1500,1350,05 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.1,1000,1200,1100,03 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.2,1000,1200,1100,02 Dec 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.5,1000,1400,1200,29 Nov 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.5,1000,1200,1100,28 Nov 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.2,1000,1200,1100,24 Nov 2014
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Other,Vegetables,0.5,1300,1350,1325,21 Nov 2014
