State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.08,4850,5750,5500,08 Nov 2020
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.34,5250,7950,7500,16 Dec 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.13,5250,7750,6850,13 Dec 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.14,7500,10000,9250,14 Apr 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.15,7500,10000,9250,06 Apr 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.31,7500,10000,9750,31 Mar 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.42,5750,10250,10000,24 Mar 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.2,7250,10850,9950,20 Mar 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.3,6250,8750,8500,12 Mar 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.19,5450,6350,6125,19 Feb 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.33,6350,7250,7025,15 Feb 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.47,5250,6850,6150,02 Feb 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.29,5750,7050,6650,29 Jan 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.1,5750,6650,6425,28 Jan 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.22,5750,7050,6650,22 Jan 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.09,5750,7050,6650,18 Jan 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.16,5750,7050,6650,16 Jan 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.12,4250,7350,6950,03 Jan 2019
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.15,4250,4750,4500,09 May 2017
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.25,4000,4500,4300,29 Apr 2017
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.13,2700,3600,3325,01 Feb 2017
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.34,3150,4000,3600,30 Jan 2017
Gujarat,Bharuch,Ankleshwar,Yam (Ratalu),Vegetables,0.34,2250,2650,2500,24 Jan 2017
Gujarat,Bharuch,Ankleshwar,Other,Vegetables,0.49,2000,2900,2400,14 Apr 2016
Gujarat,Bharuch,Ankleshwar,Other,Vegetables,0.6,2050,3400,2500,10 Apr 2016
Gujarat,Bharuch,Ankleshwar,Other,Vegetables,0.4,4100,4800,4300,15 Mar 2016
Gujarat,Bharuch,Ankleshwar,Other,Vegetables,0.33,3600,4500,4000,09 Mar 2016
Gujarat,Bharuch,Ankleshwar,Other,Vegetables,0.49,3400,4300,3850,04 Mar 2016
Gujarat,Bharuch,Ankleshwar,Other,Vegetables,0.47,3600,4500,4050,02 Mar 2016
