State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.28,4500,6500,5000,10 Jan 2020
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.28,3500,6500,5000,08 Jan 2020
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,2500,3500,3000,06 Feb 2019
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,3000,4000,3500,02 Feb 2019
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.22,2500,3500,3000,23 Jan 2019
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,4500,4000,20 Nov 2018
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.2,2000,3500,3000,29 Sep 2018
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.42,1500,2000,1600,11 Jan 2017
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.26,2000,3000,2500,16 Dec 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.2,1800,2500,2000,15 Dec 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.22,1500,2500,2000,11 Mar 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.56,1500,2200,2000,18 Feb 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.32,2000,3000,2500,12 Feb 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.32,1550,2000,1750,24 Jan 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.32,2000,3500,2500,07 Jan 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.6,2000,3000,2500,06 Jan 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,1.06,2000,3000,2500,05 Jan 2016
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.32,2000,3000,2500,22 Dec 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.42,3000,5000,4000,18 Dec 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,4500,3500,15 Dec 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.26,2500,3500,3000,03 Dec 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.18,3000,5000,4000,25 Nov 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,5000,4000,23 Nov 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,400,6000,5000,19 Nov 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.06,2500,5000,3500,03 Apr 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.25,3000,4000,3500,12 Feb 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,4000,3500,04 Feb 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.1,2500,3500,3000,14 Jan 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.1,2500,3500,3000,14 Jan 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,1.0,6000,8000,7000,07 Jan 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.85,5000,7000,6000,06 Jan 2015
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,4000,6000,5000,28 Dec 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,5000,7000,6000,19 Dec 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.2,5000,7000,6000,05 Dec 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.44,4000,6000,5000,30 Nov 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.2,4000,6000,5000,27 Nov 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.5,5000,7000,6000,13 Nov 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.05,6000,7000,6500,12 Nov 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,4000,6000,5000,19 Feb 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.06,5000,6000,5500,02 Feb 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.2,4000,6000,5000,21 Jan 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,5000,6000,5500,18 Jan 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,5000,6000,5500,17 Jan 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.36,5000,7000,6000,10 Jan 2014
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.04,5000,6000,5500,23 Oct 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,6000,7000,6500,29 Sep 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,4000,3500,25 May 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.06,1750,2000,1875,18 Mar 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.28,2000,3000,2500,04 Mar 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.4,2000,3000,2500,18 Feb 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.36,1500,2000,1750,08 Feb 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.28,1500,2000,1750,05 Feb 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,1500,2000,1750,01 Feb 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.62,1500,2000,1750,22 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,2000,3000,2500,21 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,1.08,2000,3000,2500,20 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,4000,3500,14 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.52,3000,4000,3500,13 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,3000,4000,3500,11 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.08,2000,3000,2500,03 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.44,2000,2500,2250,01 Jan 2013
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.48,2000,3000,2500,27 Dec 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.04,3000,4000,3500,14 Dec 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.56,1500,2000,1750,12 Dec 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3000,4000,3500,29 Nov 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.05,3000,4000,3500,20 Nov 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.05,3000,4000,3500,08 Nov 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.04,3000,4000,3500,07 Nov 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.05,4000,6000,5000,06 Nov 2012
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.12,3500,4000,3750,15 Dec 2010
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.3,4000,4500,4250,03 Nov 2010
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.5,2000,2250,2125,09 Nov 2009
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.2,3000,5000,4000,30 Oct 2009
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.3,1500,1750,1625,18 Jan 2009
Gujarat,Bharuch,Bharuch,Other,Vegetables,2.0,900,1000,950,17 Jan 2005
Gujarat,Bharuch,Bharuch,Other,Vegetables,0.05,1250,1500,1375,11 May 2004
