State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.23,800,1500,1200,27 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.26,1000,2000,1400,26 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,1500,1600,1600,18 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.12,1400,1500,1500,16 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.68,1500,2250,2100,14 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.17,1500,2250,1800,13 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,1500,2250,2000,12 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.12,1700,1800,1700,11 Dec 2007
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.17,1800,2000,1900,20 Dec 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,1500,1800,1700,18 Dec 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.11,1500,2000,1800,17 Dec 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.16,1750,2000,1800,10 Dec 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.12,2000,2500,2200,25 Nov 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.12,2000,2300,2300,17 Nov 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.14,2000,2500,2300,05 Nov 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.11,2000,2300,2300,04 Nov 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,2800,3300,3000,03 Nov 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,1400,2000,1750,11 Jan 2008
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.12,1500,2000,2000,22 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.28,2200,2500,2300,16 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.06,2500,2600,2600,14 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.16,2000,2800,2500,09 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,2400,3000,2500,05 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,2500,2900,2900,04 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.28,2300,2500,2400,03 Dec 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.11,3500,4000,3500,19 Nov 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.22,1150,3000,1150,31 Oct 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,1000,1100,1100,31 Mar 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.19,1400,1500,1500,19 Mar 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.18,1800,1900,1900,15 Mar 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.14,1100,1700,1700,26 Feb 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.16,650,800,800,20 Jan 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.41,1800,2000,2000,13 Jan 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.14,1500,2000,1900,12 Jan 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.15,1900,2000,1900,10 Jan 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.29,1500,2000,2000,03 Jan 2009
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,1500,2000,1800,31 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.2,1900,2200,2000,29 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.23,1900,2300,2000,28 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.27,1800,2300,2000,27 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.48,1500,2500,2300,26 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.39,1500,2500,2200,25 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.32,1500,2500,2100,24 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.18,1500,2500,2200,23 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.26,1500,2500,2300,22 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,2000,2500,2500,20 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,2000,2500,2400,19 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.35,2000,2500,2300,18 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.15,2000,2500,2500,16 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.1,2000,2500,2400,15 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,2300,2500,2500,14 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.15,2000,2500,2500,13 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.2,2000,2700,2200,12 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.15,2000,2500,2200,11 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.22,1900,2500,2200,10 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.28,1800,2700,2600,09 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.11,2000,2500,2500,07 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,2500,3500,3000,06 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.31,2100,3500,2500,05 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.16,2500,3500,3000,04 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.13,1500,2500,2100,03 Dec 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.05,3000,3500,3250,25 Nov 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.25,2000,2500,2500,17 Jun 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.12,1500,1600,1600,14 Mar 2010
Gujarat,Dahod,Dahod(Veg. Market),Other,Vegetables,0.16,1500,1800,1800,23 Feb 2010
