State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Dahod,Dahod,Other,Vegetables,0.13,1250,1500,1500,26 Mar 2007
Gujarat,Dahod,Dahod,Other,Vegetables,0.17,1400,1500,1500,15 Jan 2007
Gujarat,Dahod,Dahod,Other,Vegetables,0.1,1500,2000,1900,30 Nov 2006
Gujarat,Dahod,Dahod,Other,Vegetables,0.11,1000,1400,1200,29 Nov 2006
Gujarat,Dahod,Dahod,Other,Vegetables,0.25,1800,2000,1900,27 Nov 2006
Gujarat,Dahod,Dahod,Other,Vegetables,0.1,1800,2125,2000,23 Nov 2006
Gujarat,Dahod,Dahod,Other,Vegetables,0.2,1500,2000,1800,26 Sep 2006
Gujarat,Dahod,Dahod,Other,Vegetables,0.13,1000,1200,1000,25 Jan 2005
Gujarat,Dahod,Dahod,Other,Vegetables,0.19,1000,1200,1100,12 Jan 2005
Gujarat,Dahod,Dahod,Other,Vegetables,0.11,900,1000,950,10 Jan 2005
Gujarat,Dahod,Dahod,Other,Vegetables,0.13,1000,1100,1050,05 Jan 2005
Gujarat,Dahod,Dahod,Other,Vegetables,0.18,1000,1200,1100,04 Jan 2005
Gujarat,Dahod,Dahod,Other,Vegetables,0.29,900,1000,950,03 Jan 2005
Gujarat,Dahod,Dahod,Other,Vegetables,0.36,1000,1000,1000,30 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.22,1000,1300,1100,29 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.22,1000,1200,1100,18 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.19,1100,1300,1200,17 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.1,1000,1300,1200,15 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.31,1000,1200,1100,13 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.36,900,1200,1100,08 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.1,1000,1200,1100,03 Dec 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.11,1000,1350,1350,29 Nov 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.15,1300,1500,1500,08 Nov 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.25,1400,1800,1600,06 Nov 2004
Gujarat,Dahod,Dahod,Other,Vegetables,0.15,1500,1800,1600,05 Nov 2004
