State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2550,2600,2575,27 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.8,2500,2600,2550,26 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,1.0,2550,2700,2675,25 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.5,2600,2700,2650,22 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,1.4,2500,2700,2600,20 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2550,2650,2600,19 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,1.0,2500,2700,2600,18 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2500,2600,2550,17 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2500,2600,2550,15 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2500,2600,2550,12 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.8,2400,2500,2450,11 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2400,2500,2450,10 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.5,2500,2600,2550,09 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.8,2400,2500,2450,08 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2500,2600,2550,05 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2400,2500,2450,03 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2400,2500,2450,02 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.8,2400,2500,2450,01 Mar 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2400,2500,2450,26 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,1.0,2500,2600,2550,24 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.8,1300,1500,1400,23 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2000,2100,2050,22 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2000,2100,2050,18 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2000,2200,2100,16 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2100,2200,2150,15 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.5,2000,2100,2050,08 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2000,2100,2050,05 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.2,2000,2100,2050,04 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.7,2000,2050,2025,03 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,1900,2000,1950,02 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2000,2050,2025,01 Feb 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,1.4,1900,2000,1950,30 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.1,2000,2100,2050,29 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.5,2000,2100,2050,27 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,1900,2000,1950,26 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.4,2000,2100,2050,25 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,1.0,2000,2200,2100,23 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.5,1900,2000,1950,22 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,10.0,1900,2000,1950,21 Jan 2021
Gujarat,Dahod,Jhalod,Other,Vegetables,0.02,2500,2600,2550,11 Mar 2010
