State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Junagarh,Junagadh,Other,Vegetables,0.8,1100,1200,1150,14 Sep 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,0.8,1000,1250,1125,26 Aug 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.3,1300,1400,1350,02 Aug 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,2.5,1050,1250,1150,31 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.2,1050,1200,1100,29 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,0.8,1100,1350,1225,26 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.2,1100,1400,1250,24 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,4.2,600,750,675,23 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.5,1000,1200,1100,22 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,0.4,1100,1350,1250,21 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.2,1100,1350,1200,20 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.2,1100,1400,1250,19 Jul 2010
Gujarat,Junagarh,Junagadh,Other,Vegetables,1.5,1400,1600,1500,14 Jul 2010
