State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Kheda,Nadiad,Other,Vegetables,1.2,1000,1100,1050,09 Jan 2008
Gujarat,Kheda,Nadiad,Other,Vegetables,0.4,1000,1500,1250,08 Jan 2008
Gujarat,Kheda,Nadiad,Other,Vegetables,1.16,700,800,750,04 Jan 2008
Gujarat,Kheda,Nadiad,Other,Vegetables,0.48,5500,6000,5750,20 Jan 2007
Gujarat,Kheda,Nadiad,Other,Vegetables,3.6,750,850,800,31 Jan 2006
Gujarat,Kheda,Nadiad,Other,Vegetables,7.2,900,1000,950,19 Jan 2006
Gujarat,Kheda,Nadiad,Other,Vegetables,11.4,1200,1225,1215,09 Jan 2006
Gujarat,Kheda,Nadiad,Other,Vegetables,1.6,600,700,650,05 Jan 2006
Gujarat,Kheda,Nadiad,Other,Vegetables,3.6,500,600,550,03 Jan 2006
Gujarat,Kheda,Nadiad,Other,Vegetables,3.0,600,800,700,02 Jan 2006
Gujarat,Kheda,Nadiad,Other,Vegetables,4.8,600,800,700,23 Dec 2005
Gujarat,Kheda,Nadiad,Other,Vegetables,6.0,650,900,775,20 Dec 2005
