State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Navsari,Bilimora,Other,Vegetables,1.2,2250,2550,2500,31 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,2250,2550,2500,30 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.8,2250,2550,2500,29 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2250,2550,2500,28 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.2,2250,2500,2400,27 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2000,2500,2250,26 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,2000,2250,2200,20 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.2,2000,2250,2200,19 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.8,1500,2250,2200,18 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,1500,2250,2200,17 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,2.5,1500,2500,2000,16 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.8,2000,2250,2200,14 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,2000,2250,2200,13 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,2.8,2000,2250,2200,12 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,2.5,2000,2250,2200,11 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,2.0,500,600,550,10 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,2.0,2000,2250,2200,09 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.8,2000,2250,2200,08 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,2000,2250,2100,07 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2000,2250,2200,06 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,2000,2250,2150,05 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2000,2500,2250,04 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.4,2000,2500,2250,03 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,2.0,2000,2500,2250,02 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.2,2000,2500,2250,01 Dec 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.2,2500,3000,2750,29 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2200,2500,2400,28 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.5,3000,3250,3150,27 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,3000,3500,3250,26 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,3000,3500,3250,25 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.2,2000,3000,2900,24 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.5,2000,3000,2800,23 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2000,3000,2800,22 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.7,2000,3250,3200,21 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.5,2000,3600,3500,20 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.8,2000,3750,3500,19 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,1.0,2000,3500,3300,18 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.7,2000,3500,3300,17 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.5,2000,3500,3300,16 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.5,2000,3500,3250,14 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.8,2000,3500,3300,13 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.5,2000,3500,3250,12 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.7,2000,3500,3250,11 Nov 2006
Gujarat,Navsari,Bilimora,Other,Vegetables,0.5,2000,3500,3000,10 Nov 2006
