State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Surat,Surat,Other,Vegetables,2.0,50000,55000,52500,06 Sep 2002
Gujarat,Surat,Surat,Other,Vegetables,1.0,1000,1400,0,04 Sep 2002
Gujarat,Surat,Surat,Other,Vegetables,1.0,800,1200,1000,26 Aug 2002
Gujarat,Surat,Surat,Other,Vegetables,1.0,2000,6000,4000,30 Sep 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,10000,16000,13000,04 Apr 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,10000,17500,13750,02 Apr 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,9000,17500,13250,01 Apr 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,7500,14000,10750,31 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,9000,17500,13250,29 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,9000,17500,13250,28 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,6.0,9000,17500,13250,27 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,9000,17500,13250,26 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,6.0,7500,17500,12500,25 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,9000,17500,13250,24 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,4.0,7500,17500,12500,21 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,7000,17500,12250,15 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,7000,17500,12250,13 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,7000,17500,12250,11 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,6000,17500,11750,10 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,6000,17500,11750,07 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,6000,17500,11750,06 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,5.0,6000,17500,11750,05 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,6.0,6500,17500,12000,04 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,6.0,10000,17500,13750,03 Mar 2003
Gujarat,Surat,Surat,Other,Vegetables,7.0,10000,17500,13750,28 Feb 2003
Gujarat,Surat,Surat,Other,Vegetables,6.0,7000,17500,12250,26 Feb 2003
