State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1000,1200,1150,31 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.1,1000,1500,1300,28 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,1200,1300,1250,27 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.7,1000,1200,1050,26 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,2.5,1100,1300,1200,25 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.6,1100,1300,1150,24 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1100,1300,1200,23 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1200,1300,1250,22 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.2,1200,1400,1200,21 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.9,1000,1200,1150,19 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1000,1500,1300,16 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1100,1400,1200,15 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1200,1500,1400,14 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1200,1500,1425,13 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1300,1500,1425,12 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,1500,1750,1650,11 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.9,1750,2000,1900,10 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.1,1750,2000,1750,09 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1500,1600,1575,07 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.2,1500,1600,1575,06 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,2.7,1600,1700,1650,05 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1450,1600,1550,04 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.9,1500,1800,1700,03 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.2,1500,1800,1700,02 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1500,1900,1750,01 Dec 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1800,2000,1850,30 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.4,1500,2000,1850,27 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1500,2250,1900,26 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.9,1500,2500,2100,25 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.3,1500,2500,2000,24 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,1500,1750,1650,23 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1500,2000,1800,17 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1000,2000,1500,16 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1250,1800,1550,08 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1250,1500,1400,07 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1250,1500,1400,06 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1500,2500,2000,01 Nov 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1500,2500,2000,31 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,2000,3000,2700,29 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,2000,3000,2500,26 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,2000,3000,2500,24 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,2000,2500,2225,17 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2000,3000,2750,16 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2000,3000,2550,14 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,2000,3000,2550,13 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,2500,3500,2950,11 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,2950,09 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,2500,3500,2950,08 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,2950,07 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,2950,06 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,2700,3500,3050,03 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,2925,02 Oct 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,2925,30 Sep 2007
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.9,1600,1750,1700,30 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1500,1700,1625,29 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.9,1400,1600,1500,28 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.5,1500,1600,1575,27 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1400,1600,1525,25 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1500,1600,1575,24 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.3,1500,1600,1575,23 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1500,1600,1575,22 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1400,1600,1500,21 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1500,1600,1575,20 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.5,1500,1750,1600,18 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1400,1600,1550,17 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1500,1750,1650,16 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1500,1800,1700,15 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1500,1800,1700,14 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.6,1500,1700,1650,13 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.2,1500,2250,1950,12 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,2.6,1500,1750,1650,10 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.2,1500,1750,1650,09 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.3,1500,1750,1650,08 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.6,1800,2000,1925,07 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.3,1500,1800,1675,06 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,2.1,1500,1800,1675,05 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.2,1500,2000,1775,04 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,2.1,1500,2000,1775,02 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.9,1700,1800,1775,01 Dec 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1700,1800,1775,30 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.4,1750,1900,1850,29 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1500,1750,1625,28 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.9,1500,1800,1700,27 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1500,2000,1800,25 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1500,2000,1800,24 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.5,1500,1750,1625,23 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1500,1750,1675,21 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1750,2000,1900,19 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1750,2000,1900,18 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1500,2000,1800,16 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,1500,2000,1800,15 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1750,2000,1900,14 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1300,1750,1500,13 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1400,1800,1575,09 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1500,2000,1750,07 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1500,2000,1850,03 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.4,1500,2000,1750,02 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1000,1750,1425,01 Nov 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,2000,2750,2350,31 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,2000,2750,2400,28 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1750,2750,2250,26 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,2000,3000,2500,25 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,2500,3000,2750,17 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,2500,3000,2750,16 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,3000,08 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,2500,3500,3000,06 Oct 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,750,1500,1150,25 Sep 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,750,800,775,16 Sep 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,700,1200,900,13 Sep 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,750,1000,900,27 Jun 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1425,18 May 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1300,1500,1400,07 May 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,750,1000,875,24 Apr 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,30 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,29 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,28 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,900,1000,975,19 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,15 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,14 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,10 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1250,1500,1400,09 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1250,1500,1400,08 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1250,1500,1375,05 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.1,1000,1500,1250,04 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1300,1700,1500,02 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.6,1400,1700,1550,01 Mar 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,1400,1700,1500,27 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1300,1500,1400,26 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1300,1500,1400,25 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.4,1400,1700,1550,24 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1400,1700,1550,23 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1400,1700,1550,22 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1400,1600,1500,21 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1400,1600,1500,20 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1400,1600,1500,19 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.3,1200,1500,1400,18 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1200,1500,1400,17 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.0,1300,1500,1450,15 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.2,1250,1500,1400,14 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1300,1500,1450,13 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1200,1600,1450,12 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1200,1500,1400,11 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.7,1200,1600,1450,10 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,1.4,1200,1600,1400,09 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.8,1200,1500,1400,08 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.1,1200,1500,1375,07 Feb 2008
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Vegetables,0.5,1200,1500,1400,05 Feb 2008
