State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,500,1500,1000,08 May 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,500,1500,1000,06 May 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,2.3,500,1500,1000,03 May 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,500,1500,1000,02 May 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.3,500,1500,1000,29 Apr 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,500,800,700,06 Mar 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.5,400,650,500,05 Mar 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.4,600,1100,900,27 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.2,600,1200,950,26 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,600,1100,800,25 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.4,700,1200,950,22 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.5,750,1200,1000,21 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,1.4,750,1100,1000,19 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,800,1150,1000,18 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.8,900,1100,1000,17 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.4,1000,1400,1200,14 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.8,1200,1500,1300,12 Feb 2007
Gujarat,Vadodara(Baroda),Vadodara,Other,Vegetables,0.1,1200,1400,1250,11 Feb 2007
