State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Haryana,Ambala,Naraingarh,Other,Vegetables,0.08,1800,1800,1800,20 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.05,1700,1700,1700,19 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.04,1500,1500,1500,18 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.09,1500,1600,1560,16 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.1,1500,2000,1700,13 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.15,1500,2000,1800,12 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.06,1500,2700,2400,10 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.1,1400,2000,1500,09 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.21,1500,2000,1600,08 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.1,1200,2300,2000,06 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.07,1500,1500,1500,03 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.15,1500,2000,1800,02 Nov 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.12,1500,2200,2000,30 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.04,1850,1850,1850,29 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.04,1700,1700,1700,28 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.06,1500,2200,1700,26 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.04,1500,2200,1700,25 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.07,1500,1800,1700,23 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.08,1500,2300,1800,22 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.04,1500,1500,1500,21 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.06,1600,1800,1650,20 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.05,1500,2000,1700,19 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.08,2000,2200,2100,14 Oct 2021
Haryana,Ambala,Naraingarh,Other,Vegetables,0.11,1500,2000,1800,13 Oct 2021
