State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.05,2000,2100,2050,27 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.1,1700,2000,1900,25 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.1,2000,2100,2050,23 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,2000,2100,2050,20 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.2,1500,1600,1550,18 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.25,1500,2000,1900,17 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.23,1800,2000,1900,16 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,2000,2200,2100,15 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.3,1800,2000,1900,14 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.24,1800,2000,1900,13 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.11,1800,2000,1900,12 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.13,1800,2000,1900,11 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.61,1500,2000,1900,10 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,2000,2100,2050,09 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,1000,1800,1700,08 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.26,1600,1800,1700,07 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.2,1600,2000,1900,06 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.25,1400,1600,1500,05 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.39,1500,2000,1900,04 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.24,1500,2000,1900,03 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.18,1600,2000,1900,02 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.13,1500,1800,1700,01 Sep 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.32,1500,2000,1900,30 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.28,1600,2100,2000,29 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.16,1800,2000,1900,28 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.18,1700,2000,1900,27 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.27,1700,2000,1900,26 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.12,1800,2000,1900,25 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,2000,2400,2300,24 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.06,1400,1500,1450,23 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.15,1000,2000,1800,22 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.16,1000,1800,1700,21 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,1900,2000,1950,20 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.27,1800,2000,1900,19 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.21,1900,2000,1950,18 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.27,1800,2500,2400,17 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.11,1600,2500,2400,16 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.22,1500,2500,2000,15 Aug 2013
Haryana,Hissar,Barwala(Hisar),Other,Vegetables,0.12,1500,1900,1800,14 Aug 2013
