State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,3.0,1500,1800,1600,20 Jul 2015
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,1.0,1800,2000,1900,12 Dec 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,3.0,2000,2200,2100,11 Dec 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,1.0,1500,2200,1800,10 Dec 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,2.0,2000,2200,2100,29 Nov 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,2.0,1500,2400,2000,22 Nov 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.2,2300,2400,2350,21 Nov 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,5.0,2300,2600,2400,10 Nov 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,1.0,2300,2400,2350,04 Nov 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,2.0,1800,2200,2000,27 Sep 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.4,2000,2200,2000,28 Jan 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.6,2000,2200,2000,07 Jan 2014
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.4,2300,2500,2300,27 Dec 2013
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.1,2000,2500,2200,18 Dec 2013
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.2,2000,2900,2000,17 Dec 2013
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.2,1500,2000,1500,19 Nov 2013
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.2,1800,2000,1800,18 Nov 2013
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.1,2000,2300,2000,05 Oct 2013
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.1,1400,1500,1450,07 Nov 2012
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.02,1400,1600,1500,15 Sep 2012
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.1,1600,1700,1600,25 Dec 2009
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.2,1800,1900,1875,14 Dec 2009
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.2,1000,1400,1000,13 Aug 2009
Himachal Pradesh,Bilaspur,Bilaspur,Other,Vegetables,0.05,700,800,700,21 Mar 2009
