State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,14 Nov 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,12 Nov 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1250,1225,10 Nov 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1300,1400,1350,01 Nov 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1400,1500,1450,28 Oct 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1400,1450,1425,24 Oct 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1600,1550,22 Oct 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1600,1550,20 Oct 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1600,1550,10 Oct 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1600,1550,07 Oct 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1700,1800,1750,26 Sep 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1700,1800,1750,23 Sep 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1700,1800,1750,19 Sep 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1800,1900,1850,05 Sep 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,29 Aug 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,26 Aug 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1200,1100,06 Aug 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1200,1100,29 Jul 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,04 Jul 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,01 Jul 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1200,1100,24 Jun 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,23 Jun 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,21 Jun 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,20 Jun 2008
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,26 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,22 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,21 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,18 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,08 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,04 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,02 Dec 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,28 Nov 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1600,1550,25 Nov 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1600,1550,13 Nov 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2200,2100,26 Oct 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,24 Oct 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,21 Oct 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,16 Oct 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,09 Oct 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,06 Oct 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,29 Sep 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,26 Sep 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,18 Sep 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,15 Sep 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,08 Sep 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2000,2100,2050,25 Aug 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2400,2500,2450,24 Aug 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2400,2500,2450,21 Aug 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,2400,2500,2450,20 Aug 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1200,1100,24 Jul 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,17 Jul 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,26 Jun 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1200,1100,12 Jun 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1200,1300,1250,29 May 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1000,1100,1050,15 May 2009
Kerala,Alappuzha,Alappuzha,Other,Vegetables,2.0,1500,1700,1600,13 Dec 2010
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1500,1700,1600,25 Nov 2010
Kerala,Alappuzha,Alappuzha,Other,Vegetables,1.0,1900,2000,1950,23 Nov 2010
